Orig.,4Kids,No. in season,4Kids title Original Japanese & Funimation titles[111],Directed by,Written by,Rank[n 1] Rating,Original release date,English air date,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Reverse Mountain,Reverse Mountain,Reverse Mountain,Reverse Mountain,Reverse Mountain,Reverse Mountain,Reverse Mountain,Reverse Mountain,Reverse Mountain,Reverse Mountain,Reverse Mountain,Reverse Mountain,Reverse Mountain
62,44b,1,"""Fantastic Voyage"" ""The First Line of Defence? The Giant Whale Laboon Appears!"" Transliteration: ""Sasho no Toride? Kyodai Kujira Rabūn Arawareru"" (Japanese: 最初の砦?巨大クジラ·ラブーン現る)",Kōnosuke Uda,Michiru Shimada,6 13.7,"March 14, 2001[n 3]","July 30, 2005",,,,
63,-,2,"""A Promise Between Men! Luffy and the Whale Vow to Meet Again!"" Transliteration: ""Otoko no Yakusoku! Rufi to Kujira Saikai no Chikai"" (Japanese: 男の約束! ルフィとクジラ再会の誓い)",Harume Kosaka,Michiru Shimada,6 13.7,"March 21, 2001[n 3][112]",—,,,,
Whiskey Peak,Whiskey Peak,Whiskey Peak,Whiskey Peak,Whiskey Peak,Whiskey Peak,Whiskey Peak,Whiskey Peak,Whiskey Peak,Whiskey Peak,Whiskey Peak,Whiskey Peak,Whiskey Peak
64,44c,3,"""Fantasic Voyage"" ""A Town That Welcomes Pirates? Setting Foot on Whiskey Peak!"" Transliteration: ""Kaizoku Kangei no Machi? Uisukīpīku Jōriku"" (Japanese: 海賊歓迎の町? ウイスキーピーク上陸)",Yoko Ikeda,Michiru Shimada,2 17.2,"April 15, 2001[n 4][113]","July 30, 2005[114]",,,,
65,45,4,"""Baroque Works"" ""Explosion! The Three Swords Style! Zoro vs. Baroque Works!"" Transliteration: ""Sakuretsu Santōryū! Zoro vs Barokku Wākusu"" (Japanese: 炸裂三刀流! ゾロVSバロックワークス)",Yoshihiro Ueda,Michiru Shimada,2 17.2,"April 15, 2001[n 4][113]","August 6, 2005[115]",,,,
66,46,5,"""Luffy vs. Zoro"" ""All Out Battle! Luffy vs. Zoro! Mysterious Grand Duel!"" Transliteration: ""Shinken Shōbu! Rufi vs Zoro Nazo no Dai Kettō"" (Japanese: 真剣勝負! ルフィVSゾロ謎の大決闘!)",Hidehiko Kadota,Michiru Shimada,5[n 5] 14.1,"April 22, 2001[116]","August 13, 2005[117]",,,,
67,47a,6,"""Escape From Misty Peak"" ""Deliver Princess Vivi! The Luffy Pirates Set Sail!"" Transliteration: ""Ōjo Bibi o Todokero! Rufi Kaizoku Dan Shukkō"" (Japanese: 王女ビビを届けろ! ルフィ海賊団出航)",Kōnosuke Uda,Michiru Shimada,4 15.0,"April 29, 2001[118]","August 20, 2005[119]",,,,
Diary of Coby-Meppo,Diary of Coby-Meppo,Diary of Coby-Meppo,Diary of Coby-Meppo,Diary of Coby-Meppo,Diary of Coby-Meppo,Diary of Coby-Meppo,Diary of Coby-Meppo,Diary of Coby-Meppo,Diary of Coby-Meppo,Diary of Coby-Meppo,Diary of Coby-Meppo,Diary of Coby-Meppo
68,—,7,"""Try Hard, Coby! Coby and Helmeppo's Struggles in the Marines!"" Transliteration: ""Ganbare Kobī! Kobimeppo Kaigun Funtōki"" (Japanese: 頑張れコビー! コビメッポ海軍奮闘記)",Harume Kosaka,Michiru Shimada,3 14.6,"May 13, 2001[120]",—,,,,
69,—,8,"""Coby and Helmeppo's Resolve! Vice-Admiral Garp's Parental Affection!"" Transliteration: ""Kobimeppo no Ketsui! Gāpu Chūshō no Oyagokoro"" (Japanese: コビメッポの決意! ガープ中将の親心)",Munehisa Sakai,Michiru Shimada,3 15.8,"May 20, 2001[121]",—,,,,
Little Garden,Little Garden,Little Garden,Little Garden,Little Garden,Little Garden,Little Garden,Little Garden,Little Garden,Little Garden,Little Garden,Little Garden,Little Garden
70,—,9,"""An Ancient Island! The Shadow Hiding in Little Garden!"" Transliteration: ""Taiko no Shima! Ritoru Gāden ni Hisomu Kage!"" (Japanese: 太古の島! リトルガーデンに潜む影!)",Yuji Endo,Junki Takegami,6 13.1,"May 27, 2001[122]",—,,,,
71,—,10,"""Huge Duel! The Giants Dorry and Broggy!"" Transliteration: ""Dekkai Kettō! Kyojin Dorī to Burogī"" (Japanese: でっかい決闘! 巨人ドリーとブロギー)",Hidehiko Kadota,Junki Takegami,3 14.7,"June 3, 2001[123]",—,,,,
72,—,11,"""Luffy Gets Angry! A Dirty Trick Violates the Sacred Duel!"" Transliteration: ""Rufi Okoru! Seinaru Kettō ni Hiretsu na Wana"" (Japanese: ルフィ怒る! 聖なる決闘に卑劣な罠)",Yoko Ikeda,Junki Takegami,8 12.5,"June 17, 2001[124]",—,,,,
73,—,12,"""Broggy's Bitter Tears of Victory! The Conclusion of Elbaf!"" Transliteration: ""Burogī Shōri no Gōkyū! Erubafu no Ketchaku!"" (Japanese: ブロギー勝利の号泣! エルバフの決着)",Yoshihiro Ueda,Junki Takegami,4 15.3,"June 24, 2001[125]",—,,,,
74,—,13,"""The Devilish Candle! Tears of Regret and Tears of Anger!"" Transliteration: ""Ma no Cyandoru! Munen no Namida to Okari no Namida"" (Japanese: 魔のキャンドル! 無念の涙と怒りの涙)",Kōnosuke Uda,Junki Takegami,3 15.6,"July 15, 2001[126]",—,,,,
75,—,14,"""A Hex on Luffy! Colors Trap!"" Transliteration: ""Rufi o Osō Maryoku! Karāzutorappu!"" (Japanese: ルフィを襲う魔力! カラーズトラップ)",Junichi Fujise,Junki Takegami,6 12.8,"August 12, 2001[127]",—,,,,
76,—,15,"""Time to Fight Back! Usopp's Quick Thinking and Fire Star!"" Transliteration: ""Iza Hangeki! Usoppu no Kiten to Kaenboshi!"" (Japanese: いざ反撃! ウソップの機転と火炎星!)",Harume Kosaka,Junki Takegami,2 14.9,"August 19, 2001[n 6][128]",—,,,,
77,47b,16,"""Escape From Misty Peak"" ""Farewell Giant Island! Head for Alabasta!"" Transliteration: ""Saraba Kyojin no Shima! Arabasuta o Mezase"" (Japanese: さらば巨人の島! アラバスタを目指せ)",Yuji Endo,Junki Takegami,2 14.9,"August 19, 2001[n 6][128]","August 20, 2005",,,,
