Orig.,4Kids,No. in season,4Kids title/Funimation title Original Japanese title,Directed by,Written by,Original release date,English air date
78,48,1,"""Saving Nami""  ""Nami's Sick? Beyond the Snow Falling on the Sea!"" Transliteration: ""Nami ga byōki? Umi ni furu yuki no mukō ni!"" (Japanese: ナミが病気?海に降る雪の向こうに!)",Yoshihiro Ueda,Junki Takegami,"August 26, 2001[129]","August 27, 2005[130]"
79,48,2,"""Saving Nami"" ""A Raid! The Tin Tyrant and Tin Plate Wapol!"" Transliteration: ""Kishū! Burikingu gō to Buriki no Waporu"" (Japanese: 奇襲!ブリキング号とブリキのワポル)",Junji Shimizu,Junki Takegami,"September 2, 2001[131][132]","August 27, 2005"
80,48–49,3,"""Saving Nami""/""Rabid Rabbits"" ""An Island without Doctors? Adventure in a Nameless Land!"" Transliteration: ""Isha no inai shima? Na mo naki kuni no bōken"" (Japanese: 医者のいない島?名も無き国の冒険!)",Munehisa Sakai,Michiru Shimada,"September 9, 2001[133]","August 27, 2005 September 10, 2005[134]"
81,49–50,4,"""Rabid Rabbits""/""Avalanche!"" ""Are You Happy? The Doctor Called Witch!"" Transliteration: ""Happī kai? Majo to yobareta isha!"" (Japanese: ハッピーかい?魔女と呼ばれた医者!)",Kōnosuke Uda,Michiru Shimada,"September 16, 2001[135]","September 10, 2005 September 17, 2005[136]"
82,50,5,"""Avalanche!"" ""Dalton's Resolve! Wapol's Corps Lands on the Island!"" Transliteration: ""Doruton no kakugo! Waporu gundan shima ni jōriku"" (Japanese: ドルトンの覚悟!ワポル軍団島に上陸)",Harume Kosaka,Michiru Shimada,"October 7, 2001[n 7][137]","September 17, 2005"
83,51,6,"""The Big Climb"" ""The Island Where Snow Lives! Climb the Drum Rockies!"" Transliteration: ""Yuki no sumi shima! Doramu Rokkī o nobore!"" (Japanese: 雪の住む島!ドラムロッキーを登れ!)",Hidehiko Kadota,Michiru Shimada,"October 7, 2001[n 7][137]","September 24, 2005[136]"
84,52,7,"""Tony Tony Chopper""  ""Blue-nosed Reindeer! Chopper's Secret!"" Transliteration: ""Tonakai wa aoppana! Choppā no himitsu!"" (Japanese: トナカイは青っ鼻!チョッパーの秘密)",Daisuke Nishio,Michiru Shimada,"October 21, 2001[138]","October 1, 2005[139]"
85,53,8,"""Freaky""  ""An Outcast's Dream! Hiriluk the Quack!"" Transliteration: ""Hamidashimono no yume! Yabu isha Hiruruku!"" (Japanese: はみだし者の夢!やぶ医者ヒルルク!)",Yoshihiro Ueda,Michiru Shimada,"October 28, 2001[140]","October 8, 2005[141]"
86,54,9,"""The Impossible Dream"" ""Hiriluk's Cherry Blossoms and the Will that Gets Carried On!"" Transliteration: ""Hiruruku no sakura to uketsugare yuku ishi!"" (Japanese: ヒルルクの桜と受け継がれゆく意志!)",Kōnosuke Uda,Michiru Shimada,"November 4, 2001[142]","October 15, 2005[143]"
87,55,10,"""Defending the Flag"" ""Fight Wapol's Crew! The Power of the Munch Munch Fruit!"" Transliteration: ""VS Waporu gundan! Bakubaku no mi no nōryoku!"" (Japanese: VSワポル軍団!バクバクの実の能力!)",Junji Shimizu,Michiru Shimada,"November 11, 2001[144]","October 22, 2005[145]"
88,56,11,"""Let's Get Ready to Rumble""  ""Zoan-type Devil Fruit! Chopper's Seven-form Transformation!"" Transliteration: ""Zōn kei akuma no mi! Choppā Shichidan Hengei"" (Japanese: 動物系悪魔の実!チョッパー七段変形)",Hidehiko Kadota,Michiru Shimada,"November 18, 2001[146]","October 29, 2005[147]"
89,57,12,"""The Once & Future King""  ""When the Kingdom's Rule Ends! The Flag of Faith Flies Forever!"" Transliteration: ""Ōkoku no shihai owaru toki! Shinnen no hata wa eien ni"" (Japanese: 王国の支配終る時!信念の旗は永遠に)",Junichi Fujise,Michiru Shimada,"November 25, 2001[148]","November 5, 2005[149]"
90,58,13,"""Doc Rock""  ""Hiriluk's Cherry Blossoms! Miracle in the Drum Rockies!"" Transliteration: ""Hiruruku no sakura! Doramu Rokkī no kiseki"" (Japanese: ヒルルクの桜!ドラムロッキーの奇跡)",Munehisa Sakai,Michiru Shimada,"December 2, 2001[150]","November 12, 2005[151]"
91,59,14,"""Heading For Disaster""  ""Goodbye Drum Island! I'm Going Out to Sea!"" Transliteration: ""Sayōnara Doramujima! Boku wa umi e deru!"" (Japanese: さようならドラム島!僕は海へ出る!)",Harume Kosaka,Michiru Shimada,"December 9, 2001[152]","February 11, 2006[153]"
92,60,15,"""Face Off""  ""Alabasta's Hero and a Ballerina on the Ship!"" Transliteration: ""Arabasuta no eiyū to senjō no barerīna"" (Japanese: アラバスタの英雄と船上のバレリーナ)",Yuji Endo,Junki Takegami,"December 9, 2001[152]","February 18, 2006[153]"
