Orig.,4Kids,No. in season,4Kids title / Funimation title Original Japanese title,Directed by,Written by,Original release date,English air date,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Arrival in Alabasta,Arrival in Alabasta,Arrival in Alabasta,Arrival in Alabasta,Arrival in Alabasta,Arrival in Alabasta,Arrival in Alabasta,Arrival in Alabasta,Arrival in Alabasta,Arrival in Alabasta,Arrival in Alabasta,Arrival in Alabasta,Arrival in Alabasta
93,61,1,"""Boogie Powder"" ""Off to the Desert Kingdom! The Rain-Summoning Powder and the Rebel Army!"" Transliteration: ""Iza sabaku no kuni e! Ame o yobu kona to hanrangun"" (Japanese: いざ砂漠の国へ!雨を呼ぶ粉と反乱軍)",Kōnosuke Uda,Junki Takegami,"December 16, 2001[154]","February 25, 2006[155]",,,,,
94,62,2,"""Chasing Luffy"" ""The Heroes Reunion! His Name is Fire Fist Ace!"" Transliteration: ""Gōketsutachi no saikai! Yatsu no na wa hiken no Ēsu"" (Japanese: 豪傑達の再会!奴の名は火拳のエース)",Junji Shimizu,Michiru Shimada,"December 23, 2001[156]","March 4, 2006[157][158]",,,,,
95,63,3,"""Oh, Brother!"" ""Ace and Luffy! Hot Emotions and Brotherly Bonds!"" Transliteration: ""Ēsu to Luffy! Atsuki omoi to kyōdai no kizuna"" (Japanese: エースとルフィ!熱き想いと兄弟の絆)",Hidehiko Kadota,Michiru Shimada,"January 6, 2002[n 8][159]","March 11, 2006[160][161]",,,,,
96,64,4,"""All Dried Up"" ""Erumalu, the City of Green and the Kung Fu Dugongs!"" Transliteration: ""Midori no machi Erumaru to Kunfū Jugon!"" (Japanese: 緑の町エルマルとクンフージュゴン!)",Yoko Ikeda,Michiru Shimada,"January 13, 2002[162][163]","March 11, 2006[161] March 18, 2006[164]",,,,,
97,65,5,"""Humps, Bumps & Chumps"" ""Adventure in the Country of Sand! The Monsters that Live in the Scorching Land!"" Transliteration: ""Suna no kuni no bōken! Ennetsu no daichi ni sugomu mamono"" (Japanese: 砂の国の冒険!炎熱の大地に棲む魔物)",Harume Kosaka,Junki Takegami,"January 20, 2002[165]","March 25, 2006[166] April 29, 2006[167]",,,,,
98,66,6,"""The Sand Trap"" ""Enter the Desert Pirates! The Men Who Live Freely!"" Transliteration: ""Sabaku no kaizokudan tōjō! Jiyū ni ikiru otokotachi"" (Japanese: 砂漠の海賊団登場!自由に生きる男達)",Daisuke Nishio,Junki Takegami,"January 27, 2002[168]","April 5, 2006[169] May 6, 2006[170]",,,,,
99,67,7,"""Tough Bluff"" ""False Fortitude! Camu, Rebel Soldier at Heart!"" Transliteration: ""Nisemono no iji! Kokoro no hanrangun Kamyu!"" (Japanese: ニセモノの意地!心の反乱軍カミュ!)",Munehisa Sakai,Junki Takegami,"February 3, 2002[171]","April 6, 2006[172] May 13, 2006[173]",,,,,
100,68,8,"""Kids of the Kingdom"" ""Rebel Warrior Koza! The Dream Vowed to Vivi!"" Transliteration: ""Hanrangun senshi Kōza! Bibi ni chikatta yume!"" (Japanese: 反乱軍戦士コーザ!ビビに誓った夢!)",Yuji Endo,Junki Takegami,"February 10, 2002[174]","April 10, 2006[175] May 20, 2006[176]",,,,,
101,69,9,"""Scorpion"" ""Showdown in a Heat Haze! Ace vs. the Gallant Scorpion!"" Transliteration: ""Yōen no kettō! Ēsu vs otoko sukōpion"" (Japanese: 陽炎の決闘!エースVS男スコーピオン)",Hidehiko Kadota,Michiru Shimada,"February 17, 2002[177][178]","April 11, 2006[179] May 27, 2006[citation needed]",,,,,
102,70,10,"""Secret Beneath the Sand"" ""Ruins and Lost Ways! Vivi, Her Friends, and the Country's Form!"" Transliteration: ""Kiseki to maigo! Bibi to nakama to kuni no katachi"" (Japanese: 遺跡と迷子!ビビと仲間と国のかたち)",Kōnosuke Uda,Michiru Shimada,"February 24, 2002[180]","April 12, 2006[181] June 3, 2006[182]",,,,,
103,71,11,"""Odd Numbers"" ""Spiders Café at 8 o'Clock! The Enemy Leaders Gather!"" Transliteration: ""Supaidāzu Kafe ni hachiji teki kanbu shūgō"" (Japanese: スパイダーズカフェに8時敵幹部集合)",Harume Kosaka,Junki Takegami,"March 3, 2002[183]","April 13, 2006[184] June 10, 2006[185]",,,,,
104,72,12,"""Zero"" ""Luffy vs. Vivi! The Tearful Vow to Put Friends on the Line!"" Transliteration: ""Rufi vs Bibi! Nakama ni kakeru namida no chikai"" (Japanese: ルフィVSビビ!仲間に賭ける涙の誓い)",Ken Koyama,Junki Takegami,"March 10, 2002[186]","June 17, 2006[187][188]",,,,,
105,73,13,"""Chase to Rainbase"" ""The Battlefront of Alabasta! Rainbase, the City of Dreams!"" Transliteration: ""Arabasuta sensen! Yume no machi Reinbēsu!"" (Japanese: アラバスタ戦線!夢の町レインベース)",Yuji Endo,Michiru Shimada,"March 17, 2002[189]","June 24, 2006[190]",,,,,
106,74,14,"""Caged!"" ""The Trap of Certain Defeat! Storming Raindinners!"" Transliteration: ""Zettai zetsumei no wana! Reindināzu totsunyū"" (Japanese: 絶体絶命の罠!レインディナーズ突入)",Hidehiko Kadota,Michiru Shimada,"March 24, 2002[191]","July 1, 2006[192][193]",,,,,
107,75,15,"""Kingnapped"" ""Operation Utopia Commences! The Swell of Rebellion Stirs!"" Transliteration: ""Yūtopia sakusen hatsudō! Ugokidashita uneri"" (Japanese: ユートピア作戦発動!動き出した)",Kōnosuke Uda,Michiru Shimada,"April 14, 2002[194]","July 8, 2006[195]",,,,,
108,76,16,"""They Call Me Mr. Prince"" ""The Terrifying Banana Gators and Mr. Prince!"" Transliteration: ""Kyōfu no Bananawani to Misutā Purinsu"" (Japanese: 恐怖のバナナワニとミスタープリンス)",Ken Koyama,Michiru Shimada,"April 21, 2002[196][197]","July 8, 2006[198]",,,,,
109,77,17,"""The Great Escape"" ""The Key to a Great Comeback Escape! The Wax-Wax Ball!"" Transliteration: ""Gyakuden dai dasshutsu e no kagi! Dorudoru Bōru!"" (Japanese: 逆転大脱出への鍵!ドルドルボール!)",Daisuke Nishio,Junki Takegami,"April 28, 2002[199]","February 3, 2007[200][201]",,,,,
110,78,18,"""Zero Tolerance"" ""Merciless Mortal Combat! Luffy vs. Crocodile!"" Transliteration: ""Nasakemuyō no shitō! Rufi vs Kurokodairu!"" (Japanese: 情無用の死闘!ルフィVSクロコダイル)",Yuji Endo,Junki Takegami,"May 5, 2002[202]","February 10, 2007[203][204]",,,,,
Fierce Fighting in Alabasta,Fierce Fighting in Alabasta,Fierce Fighting in Alabasta,Fierce Fighting in Alabasta,Fierce Fighting in Alabasta,Fierce Fighting in Alabasta,Fierce Fighting in Alabasta,Fierce Fighting in Alabasta,Fierce Fighting in Alabasta,Fierce Fighting in Alabasta,Fierce Fighting in Alabasta,Fierce Fighting in Alabasta,Fierce Fighting in Alabasta
111,79,19,"""Off the Hook"" ""Dash For a Miracle! Alabasta Animal Land!"" Transliteration: ""Kiseki e no Shissō! Arabasuta Dōbutsu Rando"" (Japanese: 奇跡への疾走!アラバスタ動物ランド)",Junichi Fujise,Junki Takegami,"May 12, 2002[205]","February 17, 2007[206][207]",,,,,
112,80,20,"""Rebel Rousers"" ""Rebel Army vs. Royal Army! Showdown at Alubarna!"" Transliteration: ""Hanrangun vs kokuōgun! Kessen wa Arubāna!"" (Japanese: 反乱軍VS国王軍!決戦はアルバーナ!)",Munehisa Sakai,Michiru Shimada,"May 19, 2002[208]","February 24, 2007[209]",,,,,
113,81,21,"""Two Bad"" ""Alubarna Grieves! The Fierce Captain Karoo!"" Transliteration: ""Naki no Arubāna! Gekitō Karū taichō"" (Japanese: 嘆きのアルバーナ!激闘カルー隊長!)",Hidehiko Kadota,Michiru Shimada,"June 2, 2002[210]","March 3, 2007[211][212]",,,,,
114,82,22,"""Extra Innings"" ""Sworn on a Friend's Dream! The Battle of Molehill, Block 4!"" Transliteration: ""Nakama no yumi ni chikau! Kettō Mogura tsuka 4 banchō"" (Japanese: 仲間の夢に誓う!決闘モグラ塚4番街)",Directed by : Kōji Tanaka Storyboarded by : Kōnosuke Uda,Junki Takegami,"June 9, 2002[213][214]","March 10, 2007[215][216]",,,,,
115,83,23,"""Blow Up!"" ""Big Opening Day Today! The Copy-Copy Montage!"" Transliteration: ""Honjitsu dai kōkai! Manemane Montāju!"" (Japanese: 本日大公開!マネマネモンタージュ!)",Harume Kosaka,Junki Takegami,"June 16, 2002[217]","March 17, 2007[218][219]",,,,,
