Orig.,4Kids,No. in season,4Kids title / Funimation title Original Japanese title[264],Directed by,Written by,Original release date,English air date,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Dreams!,Dreams!,Dreams!,Dreams!,Dreams!,Dreams!,Dreams!,Dreams!,Dreams!,Dreams!,Dreams!,Dreams!,Dreams!
131,—,1,"""The First Patient! The Untold Story of the Rumble Ball!"" Transliteration: ""Hajimete no Kanja! Ranburu Bōru Hiwa"" (Japanese: はじめての患者! ランブルボール秘話)",Yuji Endo,Michiru Shimada,"November 3, 2002[265]",—,,,,,
132,—,2,"""Uprising of the Navigator! For the Unyielding Dream!"" Transliteration: ""Kōkaishi no Hanran! Yuzure Nai Yume no Tame ni!"" (Japanese: 航海士の反乱! ゆずれない夢の為に!)",Harume Kosaka,Ryōta Yamaguchi,"November 10, 2002[266]",—,,,,,
133,—,3,"""A Recipe Handed Down! Sanji, the Iron Man of Curry!"" Transliteration: ""Uketsugareru Yume! Karē no Tetsujin Sanji"" (Japanese: 受け継がれる夢! カレーの鉄人サンジ)",Hidehiko Kadota,Junki Takegami,"November 17, 2002[267]",—,,,,,
134,—,4,"""I Will Make it Bloom! Usopp, the Man, and the Eight-Foot Shell!"" Transliteration: ""Sakasete Misemasu! Otoko Usoppu Hachi Shaku Tama"" (Japanese: 咲かせてみせます! 男ウソップ八尺玉)",Munehisa Sakai,Junki Takegami,"November 24, 2002[268]",—,,,,,
135,99,5,"""Legend of the Pirate Hunter!"" ""The Fabled Pirate Hunter! Zoro, the Wandering Swordsman!"" Transliteration: ""Uwasa no Kaizoku Gari! Sasurai no Kenshi Zoro"" (Japanese: 噂の海賊狩り! さすらいの剣士ゾロ)",Junji Shimizu,Junki Takegami,"December 1, 2002[269]","August 4, 2007[270][271]",,,,,
The Zenny Pirate Crew Sortie!,The Zenny Pirate Crew Sortie!,The Zenny Pirate Crew Sortie!,The Zenny Pirate Crew Sortie!,The Zenny Pirate Crew Sortie!,The Zenny Pirate Crew Sortie!,The Zenny Pirate Crew Sortie!,The Zenny Pirate Crew Sortie!,The Zenny Pirate Crew Sortie!,The Zenny Pirate Crew Sortie!,The Zenny Pirate Crew Sortie!,The Zenny Pirate Crew Sortie!,The Zenny Pirate Crew Sortie!
136,—,6,"""Zenny of the Island of Goats and the Pirate Ship in the Mountains!"" Transliteration: ""Yagi no Shima no Zenii to Yama no Naka no Kaizoku Sen!"" (Japanese: ヤギの島のゼニィと山の中の海賊船!)",Directed by : Junichi Fujise Storyboarded by : Kenji Yokoyama,Yoshiyuki Suga,"December 8, 2002[272]",—,,,,,
137,—,7,"""How's Tricks? The Designs of Zenny the Moneylender!"" Transliteration: ""Mōkarimakka? Kanekashi Zenii no Yabō!"" (Japanese: 儲かりまっか? 金貸しゼニィの野望!)",Yuji Endo,Yoshiyuki Suga,"December 15, 2002[273]",—,,,,,
138,—,8,"""Whereabouts of the Island Treasure! Attack of the Zenny Pirates!"" Transliteration: ""Shima no Otakara no Yukue! Zenii Kaizoku Dan Shutsugeki!"" (Japanese: 島のお宝の行方! ゼニィ海賊団出撃!)",Yoko Ikeda,Yoshiyuki Suga,"December 22, 2002[274][275]",—,,,,,
Beyond the Rainbow,Beyond the Rainbow,Beyond the Rainbow,Beyond the Rainbow,Beyond the Rainbow,Beyond the Rainbow,Beyond the Rainbow,Beyond the Rainbow,Beyond the Rainbow,Beyond the Rainbow,Beyond the Rainbow,Beyond the Rainbow,Beyond the Rainbow
139,100,9,"""The Rainbow Mist"" ""Legend of the Rainbow Mist! Old Man Henzo of Luluka Island!"" Transliteration: ""Nijiiro no Kiri Densetsu! Rurukajima no Rōjin Henzo"" (Japanese: 虹色の霧伝説! ルルカ島の老人ヘンゾ)",Hidehiko Kadota,Ryōta Yamaguchi,"January 5, 2003[276][277]","August 11, 2007[278][279]",,,,,
140,101,10,"""Wreckers Reef"" ""Residents of the Land of Eternity! The Pumpkin Pirates!"" Transliteration: ""Eien no Kuni no Jūnin! Panpukin Kaizoku Dan!"" (Japanese: 永遠の国の住人! パンプキン海賊団!)",Munehisa Sakai,Ryōta Yamaguchi,"January 12, 2003[280]","August 25, 2007[281][282]",,,,,
141,102,11,"""No Way Out"" ""Thoughts of Home! The Pirate Graveyard of No Escape!"" Transliteration: ""Kokyū e no Omoi! Dasshutsu Funō no Kaizoku Hakaba!"" (Japanese: 故郷への想い! 脱出不能の海賊墓場!)",Ken Koyama,Ryōta Yamaguchi,"January 19, 2003[283]","September 1, 2007[284][285]",,,,,
142,103,12,"""Into The Mist"" ""An Inevitable Melee! Wetton's Schemes and the Rainbow Tower!"" Transliteration: ""Ransen Hissu! Uetton no Yabō to Niji no Tō"" (Japanese: 乱戦必死! ウエットンの野望と虹の塔)",Yuji Endo,Ryōta Yamaguchi,"January 26, 2003[286]","September 15, 2007[287]",,,,,
143,104,13,"""The Great Escape!"" ""And so, the Legend Begins! To the Other Side of the Rainbow!"" Transliteration: ""Soshite Densetsu ga Hajimaru! Iza Niji no Kanata e"" (Japanese: そして伝説が始まる! いざ虹の彼方へ)",Directed by : Junichi Fujise Storyboarded by : Junji Shimizu,Ryōta Yamaguchi,"February 2, 2003[288]","September 22, 2007[289][290]",,,,,
