No. overall,No. in season,Title [264],Directed by,Written by,Original release date,English air date [n 10],Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Jaya,Jaya,Jaya,Jaya,Jaya,Jaya,Jaya,Jaya,Jaya,Jaya,Jaya,Jaya,Jaya
144,1,"""Caught Log! The King of Salvagers, Masira!"" Transliteration: ""Ubawareta kiroku! Sarubēji ō Mashira!"" (Japanese: 奪われた記録!サルベージ王マシラ!)",Hidehiko Kadota,Yoshiyuki Suga,"February 9, 2003[291]","September 29, 2007[292]",,,,,,
145,2,"""Monsters Appear! Don't Mess with the Whitebeard Pirates!"" Transliteration: ""Kaibutsu tōjō! Shirohige Ichimi ni wa te o dasu na"" (Japanese: 怪物登場!白ひげ一味には手を出すな)",Hiroyuki Kakudō,Yoshiyuki Suga,"February 16, 2003[293][294]","October 6, 2007[295]",,,,,,
146,3,"""Quit Dreaming! Mock Town, the Town of Ridicule!"" Transliteration: ""Yume o miru na! Azakeri no machi Mokku Taun!"" (Japanese: 夢を見るな!嘲りの街モックタウン!)",Yoko Ikeda,Yoshiyuki Suga,"February 23, 2003[296][n 11]","October 13, 2007[297][298]",,,,,,
147,4,"""Distinguished Pirates! A Man Who Talks of Dreams and the King of Undersea Search!"" Transliteration: ""Kaizoku no takami! Yume o kataru otoko to kaitei shinsaku ō"" (Japanese: 海賊の高み!夢を語る男と海底探索王)",Directed by : Junichi Fujise Storyboarded by : Munehisa Sakai,Yoshiyuki Suga,"March 9, 2003[299]","October 20, 2007[300]",,,,,,
148,5,"""Legendary Family! Noland, the Liar!"" Transliteration: ""Densetsu no ichizoku! Usotsuki Nōrando"" (Japanese: 伝説の一族!「うそつきノーランド」)",Junji Shimizu,Yoshiyuki Suga,"March 16, 2003[301]","October 27, 2007[302][303]",,,,,,
149,6,"""Steer for the Clouds! Capture the South Bird!"" Transliteration: ""Kumo kaji ippai! Sausubādo o oe!"" (Japanese: 雲舵いっぱい!サウスバードを追え!)",Yuji Endo,Yoshiyuki Suga,"March 23, 2003[304]","November 3, 2007[305][306]",,,,,,
150,7,"""Dreams Don't Come True?! Bellamy Versus the Saruyama Alliance!"" Transliteration: ""Yume wa kanawanai!? Beramī VS saruyama rengō"" (Japanese: 幻想は叶わない!?ベラミーVS猿山連合)",Hidehiko Kadota,Yoshiyuki Suga,"April 13, 2003[307]","November 10, 2007[308]",,,,,,
151,8,"""100 Million Man! World's Greatest Power and Pirate Black Beard!"" Transliteration: ""Ichioku no otoko! Sekai saikō kenryoku to kaizoku kurohige"" (Japanese: 一億の男!世界最高権力と海賊黒ひげ)",Ken Koyama,Yoshiyuki Suga,"April 20, 2003[309]","November 24, 2007[310][311]",,,,,,
152,9,"""Take to the Sky! Ride the Knockup Stream!"" Transliteration: ""Fune wa sora o yuku! Tsukiageru kairyū ni nore"" (Japanese: 船は空をゆく!突き上げる海流に乗れ)",Hiroyuki Kakudō,Michiru Shimada,"April 27, 2003[312]","December 1, 2007[313][314]",,,,,,
