No. overall,No. in season,Title,Directed by,Written by,Original release date,English air date [n 12],Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
G-8,G-8,G-8,G-8,G-8,G-8,G-8,G-8,G-8,G-8,G-8,G-8,G-8
196,1,"""A State of Emergency is Issued! A Notorious Pirate Ship has Infiltrated!"" Transliteration: ""Hijō Jitai Hatsumei! Akumei Takaki Kaizokusen Sennyū"" (Japanese: 非常事態発令!悪名高き海賊船潜入!)",Takahiro Imamura,Hirohiko Kamisaka,"June 20, 2004[348]",—,,,,,,
197,2,"""Sanji the Cook! Proving His Merit at the Marine Dining Hall!"" Transliteration: ""Ryōrinin Sanji! Kaigun Shokudō de Shinka Hakki!"" (Japanese: 料理人サンジ!海軍食堂で真価発揮!)",Ken Koyama,Michiru Shimada,"July 4, 2004[349]",—,,,,,,
198,3,"""Captured Zoro! Chopper's Emergency Operations!"" Transliteration: ""Towareta Zoro to Choppā Kinkyū Shittō"" (Japanese: 囚われたゾロとチョッパー緊急執刀!)",Hiroyuki Kakudō,Junki Takegami,"July 11, 2004[350]",—,,,,,,
199,4,"""The Marines Dragnet Closes In! The Second Member Captured!"" Transliteration: ""Hakaru Kaigun no Sōsamō! Towareta Futarime!"" (Japanese: 迫る海軍の捜査網!囚われた二人目!)",Mamoru Hosoda,Yoshiyuki Suga,"July 18, 2004[351]",—,,,,,,
200,5,"""Luffy and Sanji's Daring Rescue Mission!"" Transliteration: ""Kesshi no Rufi to Sanji! Kūshutsu Daisakusen!"" (Japanese: 決死のルフィとサンジ!救出大作戦!)",Munehisa Sakai,Hirohiko Kamisaka,"August 8, 2004[352]",—,,,,,,
201,6,"""Enter the Hot-Blooded Special Forces! Battle on the Bridge!"" Transliteration: ""Netsuketsu Tokubetsu Butai Sansen! Burijji Kōbōsen!"" (Japanese: 熱血特別部隊参戦!ブリッジ攻防戦!)",Hidehiko Kadota,Michiru Shimada,"September 5, 2004[353]",—,,,,,,
202,7,"""Breaking Through the Siege! The Going Merry is Recovered!"" Transliteration: ""Hōimō Toppa! Dakkan Gōingu Merī-gō"" (Japanese: 包囲網突破!奪還ゴーイングメリー号)",Kōnosuke Uda,Yoshiyuki Suga,"September 19, 2004[354]",—,,,,,,
203,8,"""The Pirate Ship Disappears! Fortress Battle, Round #2!"" Transliteration: ""Kieta Kaizokusen! Yōsai Kōbō Dai 2 Raundo"" (Japanese: 消えた海賊船!要塞攻防第2ラウンド)",Hiroyuki Kakudō,Junki Takegami,"September 26, 2004",—,,,,,,
204,9,"""The Gold and Waver Recovery Operations!"" Transliteration: ""Ōgon Dakkan Sakusen to Ueibā Kaishū Sakusen!"" (Japanese: 黄金奪還作戦とウエイバー回収作戦!)",Katsumi Tokoro,Hirohiko Kamisaka,"October 3, 2004",—,,,,,,
205,10,"""The One Fell Swoop Plan! Jonathan's Surefire Secret Tactic!"" Transliteration: ""Ichimōdajin Keikaku! Jonasan Jishin no Hisaku!"" (Japanese: 一網打尽計画!ジョナサン自信の秘策)",Ken Koyama,Yoshiyuki Suga,"October 3, 2004",—,,,,,,
206,11,"""Farewell, Marine Fortress! The Last Battle for Escape!"" Transliteration: ""Saraba Kaigun Yōsai! Dasshutsu e no Saigō no Kōbō"" (Japanese: さらば海軍要塞!脱出への最後の攻防)",Takahiro Imamura,Junki Takegami,"October 10, 2004[355]",—,,,,,,
Long Ring Long Land,Long Ring Long Land,Long Ring Long Land,Long Ring Long Land,Long Ring Long Land,Long Ring Long Land,Long Ring Long Land,Long Ring Long Land,Long Ring Long Land,Long Ring Long Land,Long Ring Long Land,Long Ring Long Land,Long Ring Long Land
207,12,"""Great Adventure in Long Ring Long Land!"" Transliteration: ""Rongu Ringu Rongu Rando no Daibōken!"" (Japanese: ロングリングロングランドの大冒険!)",Directed by : Junichi Fujise Storyboarded by : Kenji Yokoyama,Hirohiko Kamisaka,"October 31, 2004[356]","May 19, 2013",,,,,,
208,13,"""A Davy Back with the Foxy Pirates!"" Transliteration: ""Fokushī Kaizokudan to Dēbī Bakku!"" (Japanese: フォクシー海賊団とデービーバック!)",Hiroyuki Kakudō,Hirohiko Kamisaka,"November 7, 2004","May 26, 2013",,,,,,
209,14,"""Round 1! One Lap of the Donut Race!"" Transliteration: ""Dai Ikkaisen! Gururi Ishū Dōnatsu Rēsu"" (Japanese: 第一回戦!ぐるり一周ドーナツレース)",Hidehiko Kadota,Hirohiko Kamisaka,"November 14, 2004","June 2, 2013",,,,,,
210,15,"""Silver Fox Foxy! The Merciless Interference!"" Transliteration: ""Gin Gitsune no Fokushī! Mōretsu Bōgai Kōsei!"" (Japanese: 銀ギツネのフォクシー!猛烈妨害攻勢)",Ken Koyama,Hirohiko Kamisaka,"November 21, 2004[357]","June 9, 2013",,,,,,
211,16,"""Round 2! Shoot It into the Groggy Ring!"" Transliteration: ""Dai Ni Kaisen! Buchikome Gurokkī Ringu!"" (Japanese: 第二回戦!ブチ込めグロッキーリング)",Takahiro Imamura,Junki Takegami,"November 28, 2004[358]","June 16, 2013",,,,,,
212,17,"""A Barrage of Red Cards in Groggy Ring!"" Transliteration: ""Reddo Kādo Renpatsu! Gurokkī Ringu"" (Japanese: レッドカード連発!グロッキーリング)",Katsumi Tokoro,Junki Takegami,"December 5, 2004[359]","June 23, 2013",,,,,,
213,18,"""Round 3! The Round-and-Round Roller Race!"" Transliteration: ""Daisan Kaisen! Guruguru Rōrā Rēsu!"" (Japanese: 第三回戦!ぐるぐるローラーレース!)",Munehisa Sakai,Hirohiko Kamisaka,"December 12, 2004[360]","June 30, 2013",,,,,,
214,19,"""A Seriously Heated Race! Into the Final Round!"" Transliteration: ""Hakunetsu Bakusō Rēsu! Saishū Raundo Totsunyū"" (Japanese: 白熱爆走レース!最終ラウンド突入!)",Hiroyuki Kakudō,Hirohiko Kamisaka,"December 19, 2004[361]","July 7, 2013",,,,,,
215,20,"""Screaming-Hot Bombardment! Pirate Dodgeball!"" Transliteration: ""Unaru Netsukyū Gōkyu! Kaizoku Dojjibōru!"" (Japanese: うなる熱球剛球! 海賊ドッジボール!)",Ken Koyama,Hirohiko Kamisaka,"January 9, 2005[362]","July 14, 2013",,,,,,
216,21,"""Showdown on the Cliff! Red Light, Green Light!"" Transliteration: ""Dangai no Kessen! Daruma-san ga Koronda!"" (Japanese: 断崖の決戦!だるまさんがころんだ!)",Hidehiko Kadota,Yoshiyuki Suga,"January 9, 2005[362]","July 21, 2013",,,,,,
217,22,"""The Captains Square Off! The Final Combat Round!"" Transliteration: ""Kyaputen Taiketsu! Saishūsen Konbatto!"" (Japanese: キャプテン対決!最終戦コンバット!)",Yoko Ikeda,Hirohiko Kamisaka,"January 16, 2005[363]","July 28, 2013",,,,,,
218,23,"""Full-Blast Slow-Slow Onslaught Vs. Invulnerable Luffy!"" Transliteration: ""Zenkai Noro Noro Kōgeki vs Fujimi no Rufi"" (Japanese: 全開ノロノロ攻撃VS不死身のルフィ)",Hiroyuki Kakudō,Hirohiko Kamisaka,"January 23, 2005[363]","August 4, 2013",,,,,,
219,24,"""Epic, Heated Combat! The Fateful Final Conclusion!"" Transliteration: ""Sōzetsu Nettō Konbatto! Unmei no Saishū Ketchaku!"" (Japanese: 壮絶熱闘コンバット!運命の最終決着)",Takahiro Imamura,Hirohiko Kamisaka,"January 30, 2005[363]","August 11, 2013",,,,,,
Ocean's Dream,Ocean's Dream,Ocean's Dream,Ocean's Dream,Ocean's Dream,Ocean's Dream,Ocean's Dream,Ocean's Dream,Ocean's Dream,Ocean's Dream,Ocean's Dream,Ocean's Dream,Ocean's Dream
220,25,"""Was It Lost? Stolen? Who Are You?"" Transliteration: ""Ushinatta? Ubawareta? Omae wa Dare da?"" (Japanese: 失った?奪われた?おまえはだれだ?)",Munehisa Sakai,Junki Takegami,"February 6, 2005[363]","August 18, 2013",,,,,,
221,26,"""A Mysterious Boy With a Horn and Robin's Deduction!"" Transliteration: ""Fude o Daita Nazo no Shōnen to Robin no Suiri!"" (Japanese: 笛を抱いた謎の少年とロビンの推理!)",Katsumi Tokoro,Hirohiko Kamisaka,"February 13, 2005[363]","August 25, 2013",,,,,,
222,27,"""Now, Let's Get Back Our Memories! The Pirate Crew Lands On the Island!"" Transliteration: ""Iza Kioku o Dakkan seyo! Kaizokudan Shima ni Jōriku"" (Japanese: いざ記憶を奪還せよ!海賊団島に上陸)",Ken Koyama,Yoshiyuki Suga,"February 20, 2005[363]","September 8, 2013",,,,,,
223,28,"""Zoro Bares His Fangs! A Savage Animal Stands in the Way!"" Transliteration: ""Kiba o Muku Zoro! Tachihadakatta Yajū"" (Japanese: 牙をむくゾロ!立ちはだかった野獣!)",Hidehiko Kadota,Junki Takegami,"February 27, 2005[363]","September 15, 2013",,,,,,
224,29,"""The Last Counterattack by the Memory Thief Who Reveals His True Colors!"" Transliteration: ""Honsei o Arawashita Kioku Dorobō no Saigo no Gyakushū"" (Japanese: 本性を現した記憶泥棒の最後の逆襲!)",Takahiro Imamura,Hirohiko Kamisaka,"March 6, 2005[363]","September 22, 2013",,,,,,
Foxy's Return,Foxy's Return,Foxy's Return,Foxy's Return,Foxy's Return,Foxy's Return,Foxy's Return,Foxy's Return,Foxy's Return,Foxy's Return,Foxy's Return,Foxy's Return,Foxy's Return
225,30,"""Proud Man! Silver Fox Foxy!"" Transliteration: ""Hokori Takaki Otoko! Gin Gitsune no Fokushī"" (Japanese: 誇り高き男!銀ギツネのフォクシー)",Yoko Ikeda,Yoshiyuki Suga,"March 13, 2005[363]","September 29, 2013",,,,,,
226,31,"""The Guy Who’s the Closest to Invincible? And the Most Dangerous Man!"" Transliteration: ""Mottomo Muteki ni Chikai Yatsu? To Mottomo Kiken na Otoko!"" (Japanese: 最も無敵に近い奴?と最も危険な男!)",Directed by : Katsumi Tokoro Storyboarded by : Eisaku Inoue,Yoshiyuki Suga,"March 20, 2005[363]","October 6, 2013",,,,,,
227,32,"""Navy Headquarters Admiral Aokiji! The Ferocity of an Ultimate Powerhouse!"" Transliteration: ""Kaigun Hombu Taishō Aokiji! Saikō Senryoku no Kyōi"" (Japanese: 海軍本部大将青キジ!最高戦力の脅威)",Directed by : Hidehiko Kadota Storyboarded by : Kenji Yokoyama,Yoshiyuki Suga,"March 27, 2005[364]","October 13, 2013",,,,,,
228,33,"""Duel Between Rubber and Ice! Luffy vs. Aokiji!"" Transliteration: ""Gomu to Koori no Ikkiuchi! Rufi VS Aokiji!"" (Japanese: ゴムと氷の一騎打ち!ルフィVS青キジ)",Directed by : Yoko Ikeda Storyboarded by : Eisaku Inoue,Hirohiko Kamisaka,"March 27, 2005[364]","October 20, 2013",,,,,,
