No. overall,No. in season,Title,Directed by,Written by,Original release date,English air date [n 13]
229,1,"""The Dashing Sea Train and the City of Water: Water Seven!"" Transliteration: ""Shissō umi ressha to mizu no miyako Uōtā Seven"" (Japanese: 疾走海列車と水の都ウォーターセブン)",Directed by : Munehisa Sakai Storyboarded by : Kenji Yokoyama,Hirohiko Kamisaka,"April 17, 2005[365][366]","October 27, 2013"
230,2,"""Adventure in the City on the Water! Head to the Mammoth Shipbuilding Plant!"" Transliteration: ""Suijō toshi no bōken! Mezase kyodai sōsen kōjō"" (Japanese: 水上都市の冒険!目指せ巨大造船工場)",Directed by : Kōnosuke Uda Storyboarded by : Takahiro Imamura,Hirohiko Kamisaka,"April 24, 2005[367][368]","November 3, 2013"
231,3,"""The Franky Family and Iceberg!"" Transliteration: ""Furankī ikka to Aisubāgu-san"" (Japanese: フランキー一家とアイスバーグさん)",Yoshio Mukainakano,Hirohiko Kamisaka,"May 1, 2005[369]","November 10, 2013"
232,4,"""Galley-La Company! A Grand Sight: Dock #1!"" Transliteration: ""Garēra Kanpanī! Soukan ichiban Dokku"" (Japanese: ガレーラカンパニー!壮観一番ドック)",Directed by : Kōnosuke Uda Storyboarded by : Ken Koyama,Hirohiko Kamisaka,"May 15, 2005[370][371]","November 17, 2013"
233,5,"""Pirate Abduction Incident! A Pirate Ship That Can Only Await Her End!"" Transliteration: ""Kaizoku yūkai jiken to shi o matsu dake no kaizokusen"" (Japanese: 海賊誘拐事件と死を待つだけの海賊船)",Directed by : Hiroaki Miyamoto Storyboarded by : Kenji Yokoyama,Hirohiko Kamisaka,"May 22, 2005[372][373]","November 24, 2013"
234,6,"""Rescuing Our Friend! Raid On the Franky House!"" Transliteration: ""Nakama kyūshutsu! Nagarikomi Furankī Hausu"" (Japanese: 仲間救出!殴りこみフランキーハウス)",Hidehiko Kadota,Hirohiko Kamisaka,"June 5, 2005[374]","December 1, 2013"
235,7,"""Big Fight Under the Moon! The Pirate Flag Flutters With Sorrow!"" Transliteration: ""Gekka no dai kenka! Kanashimi ni hirugaeru kaizoku hata!"" (Japanese: 月下の大喧嘩!哀しみに翻る海賊旗!)",Katsumi Tokoro,Hirohiko Kamisaka,"June 12, 2005[375][376]","January 5, 2014"
236,8,"""Luffy vs. Usopp! Collision of Two Men's Pride!"" Transliteration: ""Rufi VS Usoppu! Butsukaru otoko no iji"" (Japanese: ルフィvsウソップ!ぶつかる男の意地)",Munehisa Sakai,Hirohiko Kamisaka,"June 19, 2005[377]","January 12, 2014"
237,9,"""Severe Shock Hits the City of Water! Iceberg Targeted!"" Transliteration: ""Gekishin mizu no miyako! Newareta Aisubāgu"" (Japanese: 激震水の都!狙われたアイスバーグ)",Yoko Ikeda,Hirohiko Kamisaka,"July 3, 2005[378][379]","January 19, 2014"
238,10,"""Gum-Gum Human vs. Fire-Breathing Cyborg!"" Transliteration: ""Gomugomu ningen VS hi o fuku kaizō ningen"" (Japanese: ゴムゴム人間VS火を吹く改造人間)",Yoshio Mukainakano,Hirohiko Kamisaka,"July 10, 2005[380]","January 26, 2014"
