0,1,"('Season', 'Season')","('Season title', 'Season title')","('Episodes', 'Episodes')","('Episodes', 'Episodes.1')","('Originally released', 'First released')","('Originally released', 'Last released')",Orig.,4Kids,No. in season,4Kids title Original Japanese & Funimation titles[14],Directed by,Written by,Rank[n 1] Rating,Original release date,English air date,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,4Kids title Original Japanese & Funimation titles[111],4Kids title/Funimation title Original Japanese title,4Kids title / Funimation title Original Japanese title,Unnamed: 8,4Kids title / Funimation title Original Japanese title[264],No. overall,Title [264],English air date [n 10],Unnamed: 7,Title,English air date [n 12],English air date [n 13],No.,Unnamed: 3,Volume,Volume.1,Volume.2,Episodes,Release date,Ref.,"('Volume', 'Volume')","('Volume', 'Volume.1')","('Volume', 'Volume.2')","('Release date', 'USA')","('Release date', 'Australia')","('ISBN', 'ISBN')","('Ref.', 'Ref.')","('Release date', 'UK')",vteOne Piece by Eiichiro Oda,vteOne Piece by Eiichiro Oda.1,vteOne Piece by Eiichiro Oda.2
,"Some of this article's listed sources may not be reliable. Please help improve this article by looking for better, more reliable sources. Unreliable citations may be challenged and removed. (November 2015) (Learn how and when to remove this message)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1.0,East Blue,61,61,"October 20, 1999","March 14, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2.0,Entering into the Grand Line,16,16,"March 21, 2001","August 19, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3.0,Introducing Chopper at the Winter Island,15,15,"August 26, 2001","December 9, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4.0,Alabasta,38,38,"December 16, 2001","October 27, 2002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5.0,"Dreams!, The Zenny Pirate Crew Sortie!, Beyond the Rainbow",13,13,"November 3, 2002","February 2, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6.0,Sky Island ~ Skypiea & The Golden Bell,52,52,"February 9, 2003","June 13, 2004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7.0,Escape! The Marine Fortress & The Foxy Pirate Crew,33,33,"June 20, 2004","March 27, 2005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8.0,Water Seven,35,35,"April 17, 2005","April 30, 2006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9.0,Enies Lobby,73,73,"May 21, 2006","December 23, 2007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
