No. overall,No. in season,Title,Directed by,Written by,Original release date,English air date,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Return to Sabaody,Return to Sabaody,Return to Sabaody,Return to Sabaody,Return to Sabaody,Return to Sabaody,Return to Sabaody,Return to Sabaody,Return to Sabaody,Return to Sabaody,Return to Sabaody,Return to Sabaody,Return to Sabaody
517,1,"""The Beginning of the New Chapter! The Straw Hats Reunited!"" Transliteration: ""Shinshō Kaimaku - Saishūketsu! Mugiwara no Ichimi"" (Japanese: 新章開幕 再集結！麦わらの一味)",Hiroaki Miyamoto,Hirohiko Kamisaka,"October 2, 2011","January 23, 2022[8]",,,,,,
518,2,"""An Explosive Situation! Luffy vs. Fake Luffy!"" Transliteration: ""Isshoku Sokuhatsu! Rufi tai Nise Rufi"" (Japanese: 一触即発！ルフィVS（たい）ニセルフィ)",Naoyuki Itō,Yoshiyuki Suga,"October 9, 2011","January 23, 2022",,,,,,
519,3,"""The Navy Has Set Out! The Straw Hats in Danger!"" Transliteration: ""Kaigun Shutsudō - Nerawareta Mugiwara no Ichimi"" (Japanese: 海軍出動 狙われた麦わらの一味)",Yutaka Nakashima,Tomohiro Nakayama [ja],"October 16, 2011","January 30, 2022",,,,,,
520,4,"""Big Guns Assembled! The Danger of the Fake Straw Hats!"" Transliteration: ""Ōmono Shūketsu - Nise Mugiwara Ichimi no Kyōi"" (Japanese: 大物集結 ニセ麦わら一味の脅威)",Gō Koga,Jin Tanaka,"October 23, 2011","January 30, 2022",,,,,,
521,5,"""The Battle Is On! Show Them What You Got from Training!"" Transliteration: ""Sentō Kaishi! Misero Shugyō no Seika!"" (Japanese: 戦闘開始！見せろ修行の成果！)",Takashi Ōtsuka [ja],Hirohiko Kamisaka,"October 30, 2011","February 6, 2022",,,,,,
522,6,"""Everyone Together! Luffy, Setting Out for the New World!"" Transliteration: ""Zen'in Shūgō - Rufi Shin Sekai e no Funade"" (Japanese: 全員集合 ルフィ新世界への船出)",Hiroyuki Satō,Jin Tanaka,"November 6, 2011","February 6, 2022",,,,,,
Fishman Island,Fishman Island,Fishman Island,Fishman Island,Fishman Island,Fishman Island,Fishman Island,Fishman Island,Fishman Island,Fishman Island,Fishman Island,Fishman Island,Fishman Island
523,7,"""A Surprising Fact! The Man Who Guarded the Sunny!"" Transliteration: ""Kyōgaku no Shinjitsu - Sanī-gō o Mamotta Otoko"" (Japanese: 驚愕の真実 サニー号を守った男)",Yoshihiro Ueda,Yoshiyuki Suga,"November 13, 2011","February 13, 2022",,,,,,
524,8,"""Deadly Combat Under the Sea! The Demon of the Ocean Strikes!"" Transliteration: ""Kaichū no Shitō - Arawareta Ōunabara no Akuma"" (Japanese: 海中の死闘 現れた大海原の悪魔)",Aya Komaki,Tomohiro Nakayama,"November 20, 2011","February 13, 2022",,,,,,
525,9,"""Lost in the Deep Sea! The Straw Hats Get Separated!"" Transliteration: ""Shinkai de Sōnan - Hagureta Mugiwara no Ichimi"" (Japanese: 深海で遭難 逸れた麦わらの一味)",Katsumi Tokoro,Tomohiro Nakayama,"November 27, 2011","February 20, 2022",,,,,,
526,10,"""Undersea Volcanic Eruption! Drifting to the Fishman Island!"" Transliteration: ""Kaitei Kazan Funka! Nagasarete Gyojin-tō"" (Japanese: 海底火山噴火！流されて魚人島)",Takahiro Imamura,Yoshiyuki Suga,"December 4, 2011","February 20, 2022",,,,,,
527,11,"""Landing at the Fishman Island! Beautiful Mermaids!"" Transliteration: ""Gyojin-tō Jōriku - Uruwashiki Ningyo-tachi"" (Japanese: 魚人島上陸 うるわしき人魚たち)",Yutaka Nakashima,Hirohiko Kamisaka,"December 11, 2011","February 27, 2022",,,,,,
528,12,"""Excitement Blow-out! Sanji's Life Under Threat!"" Transliteration: ""Kōfun Bakuhatsu! Sanji Seimei no Kiki!"" (Japanese: 興奮爆発！サンジ生命の危機！)",Naoyuki Itō,Jin Tanaka,"December 18, 2011","February 27, 2022",,,,,,
529,13,"""The Fishman Island Will Be Annihilated?! Sharley's Prophecy!"" Transliteration: ""Gyojin-tō Metsubō!? Shārī no Yogen"" (Japanese: 魚人島滅亡!? シャーリーの予言)",Yoshihiro Ueda,Hirohiko Kamisaka,"December 25, 2011","March 6, 2022",,,,,,
530,14,"""The King of the Fishman Island! Neptune, the God of the Sea!"" Transliteration: ""Gyojin-tō no Ō - Kaishin Nepuchūn!"" (Japanese: 魚人島の王 海神ネプチューン！)",Directed by : Ayako Hiraike Storyboarded by : Hiroaki Miyamoto,Yoshiyuki Suga,"January 8, 2012","March 6, 2022",,,,,,
531,15,"""The Ryugu Palace! Taken by the Shark That They Saved!"" Transliteration: ""Ryūgū-jō! Tasuketa Same ni Tsurerarete"" (Japanese: 竜宮城！助けた鮫に連れられて)",Gō Koga,Jin Tanaka,"January 15, 2012","March 13, 2022",,,,,,
532,16,"""A Coward and a Crybaby! The Princess in the Hard Shell Tower!"" Transliteration: ""Yowamushi de Nakimushi! Kōkaku-tō no Ningyo Hime"" (Japanese: 弱虫で泣き虫！硬殻塔の人魚姫)",Aya Komaki,Tomohiro Nakayama,"January 22, 2012","March 13, 2022",,,,,,
533,17,"""It's an Emergency! The Ryugu Palace Is Occupied!"" Transliteration: ""Kinkyū Jitai Hassei - Senkyo Sareta Ryūgū-jō"" (Japanese: 緊急事態発生 占拠された竜宮城)",Directed by : Hiroyuki Satō Storyboarded by : Tetsuya Endō,Hirohiko Kamisaka,"January 29, 2012","March 20, 2022",,,,,,
534,18,"""The Ryugu Palace in Shock! The Kidnapping of Shirahoshi!"" Transliteration: ""Ryūgū-jō Gekishin! Shirahoshi Yūkai Jiken"" (Japanese: 竜宮城激震！しらほし誘拐事件)",Takahiro Imamura,Yoshiyuki Suga,"February 5, 2012","March 20, 2022",,,,,,
535,19,"""Hordy's Onslaught! The Retaliatory Plan Set into Motion!"" Transliteration: ""Hōdi Shūrai - Fukushū Keikaku no Hajimari"" (Japanese: ホーディ襲来 復讐計画の始まり)",Katsumi Tokoro,Tomohiro Nakayama,"February 12, 2012","March 27, 2022",,,,,,
536,20,"""The Battle in the Ryugu Palace! Zoro vs. Hordy!"" Transliteration: ""Ryūgū-jō no Kessen! Zoro tai Hōdi"" (Japanese: 竜宮城の決戦！ゾロVS（たい）ホーディ)",Yoshihiro Ueda,Jin Tanaka,"February 19, 2012","March 27, 2022",,,,,,
537,21,"""Keep Shirahoshi Safe! Decken Close Behind!"" Transliteration: ""Shirahoshi o Mamore - Dekken no Tsuigeki"" (Japanese: しらほしを守れ デッケンの追撃)",Yutaka Nakashima,Yoshiyuki Suga,"February 26, 2012","April 3, 2022",,,,,,
538,22,"""The Straw Hats Defeated?! Hordy Gains Control of the Ryugu Palace!"" Transliteration: ""Ichimi Haiboku!? Hōdi Ryūgū-jō Seiatsu"" (Japanese: 一味敗北!? ホーディ竜宮城制圧)",Naoyuki Itō,Hirohiko Kamisaka,"March 4, 2012","April 3, 2022",,,,,,
539,23,"""The Haunting Ties! Nami and the Fishman Pirates!"" Transliteration: ""Yomigaeru In'nen! Nami to Gyojin Kaizoku-dan!"" (Japanese: 蘇る因縁！ナミと魚人海賊団！)",Aya Komaki,Tomohiro Nakayama,"March 18, 2012","April 10, 2022",,,,,,
540,24,"""A Hero Who Freed the Slaves! An Adventurer Tiger!"" Transliteration: ""Dorei Kaihō no Eiyū - Bōkenka Taigā"" (Japanese: 奴隷解放の英雄 冒険家タイガー)",Directed by : Hiroyuki Satō Storyboarded by : Hiroyuki Satō & Yoshihiro Ueda,Jin Tanaka,"March 25, 2012","April 17, 2022",,,,,,
