No. overall [n 2],No. in season,Title [n 3],Directed by,Written by,Original release date [n 4],English air date [12],Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Silver Mine,Silver Mine,Silver Mine,Silver Mine,Silver Mine,Silver Mine,Silver Mine,Silver Mine,Silver Mine,Silver Mine,Silver Mine,Silver Mine,Silver Mine
747,1,"""The Silver Fortress! Luffy and Barto's Great Adventure!"" Transliteration: ""Gin no Yōsai - Rufi to Baruto Dai Bōken"" (Japanese: 銀の要塞 ルフィとバルト大冒険)",Yoshihiro Ueda,Jin Tanaka,"June 26, 2016","October 5, 2025",,,,,,
748,2,"""An Underground Maze! Luffy vs. the Tram Human!"" Transliteration: ""Chika Meikyū - Rufi tai Torokko Ningen"" (Japanese: 地下迷宮 ルフィVS（たい）トロッコ人間)",Satoshi Itō,Jin Tanaka,"July 3, 2016","October 12, 2025",,,,,,
749,3,"""The Sword Technique Heats Up! Law and Zoro Finally Appear!"" Transliteration: ""Kengi Hakunetsu - Law to Zoro Tsui ni Kenzan!"" (Japanese: 剣技白熱 ロー・（と）ゾロ遂に見参！)",Kentarō Fujita,Shōji Yonemura,"July 10, 2016","October 19, 2025",,,,,,
750,4,"""A Desperate Situation! Luffy Fights a Battle in Extreme Heat!"" Transliteration: ""Zettai Zetsumei - Rufi Kyokugen no Shakunetsu Kessen"" (Japanese: 絶対絶命 ルフィ極限の灼熱決戦)",Yoshihiro Ueda,Jin Tanaka,"July 17, 2016","November 2, 2025",,,,,,
Zou,Zou,Zou,Zou,Zou,Zou,Zou,Zou,Zou,Zou,Zou,Zou,Zou
751,5,"""Curtain-up on a New Adventure! Arriving at the Phantom Island, Zou!"" Transliteration: ""Bōken Kaimaku - Maboroshi no Shima ""Zō"" Tōchaku!"" (Japanese: 冒険開幕 幻の島｢ゾウ｣到着！)",Katsumi Tokoro,Tomohiro Nakayama,"July 31, 2016","November 9, 2025",,,,,,
752,6,"""The New Warlord! The Legendary Whitebeard's Son Appears!"" Transliteration: ""Shin Shichibukai - Densetsu: Shirohige no Musuko Tōjō"" (Japanese: 新七武海 伝説・白ひげの息子登場)",Tetsuya Endō,Atsuhiro Tomioka,"August 7, 2016","November 16, 2025",,,,,,
753,7,"""A Deadly Elephant Climb! A Great Adventure on the Back of the Giant Elephant!"" Transliteration: ""Kesshi no Tozō - Kyozō no Se no Dai-bōken!"" (Japanese: 決死の登象 巨象の背の大冒険！)",Takashi Ōtsuka,Atsuhiro Tomioka,"August 21, 2016","November 23, 2025",,,,,,
754,8,"""A Battle Begins! Luffy vs. the Mink Tribe!"" Transliteration: ""Sentō Kaishi - Rufi tai Minku-zoku!"" (Japanese: 戦闘開始 ルフィVS（たい）ミンク族！)",Yasunori Koyama,Atsuhiro Tomioka,"August 28, 2016","November 30, 2025",,,,,,
