No. overall [n 2],No. in season,Title [n 3],Directed by,Written by,Original release date [n 4],Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Whole Cake Island,Whole Cake Island,Whole Cake Island,Whole Cake Island,Whole Cake Island,Whole Cake Island,Whole Cake Island,Whole Cake Island,Whole Cake Island,Whole Cake Island,Whole Cake Island,Whole Cake Island,Whole Cake Island
783,1,"""Sanji's Homecoming! Into Big Mom's Territory!"" Transliteration: ""Sanji Kikyō – Biggu Mamu no Nawabari e!"" (Japanese: サンジ 帰郷　ビッグ・マムの海域へ！)",Directed by : Yasunori Koyama Storyboarded by : Tetsuya Endō,Tomohiro Nakayama,"April 9, 2017",,,,,,,
784,2,"""Zero and Four! Encountering Germa 66!"" Transliteration: ""Rei to Yon – Sōgū! Jeruma Daburu Shikkusu"" (Japanese: 0と4　遭遇！ジェルマ66(ダブリシックス))",Kentarō Fujita,Shōji Yonemura,"April 16, 2017",,,,,,,
785,3,"""A Deadly Poison Crisis! Luffy and Reiju!"" Transliteration: ""Mōdoku no Kiki – Rufi to Reiju!"" (Japanese: 猛毒の危機　ルフィとレイジュ！)",Directed by : Yusuke Suzuki Storyboarded by : Masahiro Hosoda,Hitoshi Tanaka,"April 23, 2017",,,,,,,
786,4,"""Totto Land! Emperor Big Mom Appears!"" Transliteration: ""Totto Rando! Yonkō Biggu Mamu Tōjō!"" (Japanese: 万国！　四皇ビッグ・マム登場)",Directed by : Toshinori Fukuzawa Storyboarded by : Tetsuya Endō,Tomohiro Nakayama,"April 30, 2017",,,,,,,
787,5,"""The Emperor's Daughter! Sanji's Fiancée – Pudding!"" Transliteration: ""Yonkō no Musume – Sanji no Fianse Purin"" (Japanese: 四皇の娘　サンジの婚約者プリン)",Katsumi Tokoro,Shōji Yonemura,"May 7, 2017",,,,,,,
788,6,"""A Massive Attack! Mom's Hunger Pangs!"" Transliteration: ""Dai-shingeki! Kui-wazurai no Mamu"" (Japanese: 大進撃! 食いわずらいのマム)",Yoshihiro Ueda,Atsuhiro Tomioka,"May 14, 2017",,,,,,,
789,7,"""The Capital City Falls?! Big Mom and Jimbei"" Transliteration: ""Shuto Hōkai!? Biggu Mamu to Jinbē"" (Japanese: 首都崩壊！？ ビッグ・マムとジンベエ)",Yasunori Koyama,Shōji Yonemura,"May 21, 2017",,,,,,,
790,8,"""The Emperor's Castle! Arriving at the Whole Cake Island!"" Transliteration: ""Yonkō no Shiro Hōru Kēki Airando Tōchaku"" (Japanese: 四皇の城 ホールケーキアイランド到着)",Directed by : Miho Hirayama Storyboarded by : Tetsuya Endō,Atsuhiro Tomioka,"May 28, 2017",,,,,,,
791,9,"""A Mysterious Forest Full of Candies! Luffy vs. Luffy?!"" Transliteration: ""Okashi na Mori! Rufi tai Rufi"" (Japanese: お菓子な森！ルフィＶＳルフィ)",Kentarō Fujita,Tomohiro Nakayama,"June 4, 2017",,,,,,,
792,10,"""Mom's Assassin! Luffy and the Seducing Woods!"" Transliteration: ""Mamu no Shikaku – Rufi to Yūwaku no Mori!"" (Japanese: マムの刺客 ルフィと誘惑の森!)",Yoshihiro Ueda,Shōji Yonemura,"June 11, 2017",,,,,,,
793,11,"""A Seafaring Kingdom! Germa's King Judge!"" Transliteration: ""Kaiyū Kokka – Jeruma no Ō Jajji"" (Japanese: 海遊国家 ジェルマの王ジャッジ)",Katsumi Tokoro,Hitoshi Tanaka,"June 18, 2017",,,,,,,
794,12,"""A Battle Between Father and Son! Judge vs. Sanji!"" Transliteration: ""Oyako Taiketsu – Jajji tai Sanji!"" (Japanese: 父子対決　ジャッジVSサンジ！)",Directed by : Miho Shiraishi Storyboarded by : Tetsuya Endō,Atsuhiro Tomioka,"June 25, 2017",,,,,,,
795,13,"""A Giant Ambition! Big Mom and Caesar!"" Transliteration: ""Kyodai na Yabō – Biggu Mamu to Shīzā"" (Japanese: 巨大な野望　ビッグ・マムとシーザー)",Ryūji Yoshiike,Tomohiro Nakayama,"July 2, 2017",,,,,,,
796,14,"""The Land of Souls! Mom’s Fatal Ability!"" Transliteration: ""Tamashī no Kuni – Mamu no Osorubeki Nōryoku!"" (Japanese: 魂の国　マムの恐るべき能力！)",Satoshi Itō,Shōji Yonemura,"July 9, 2017",,,,,,,
797,15,"""A Top Officer! The Sweet 3 General Cracker Appears!"" Transliteration: ""Dai Kanbu! San Shōsei Kurakkā Tōjō"" (Japanese: 大幹部！三将星クラッカー登場)",Kentarō Fujita,Hitoshi Tanaka,"July 16, 2017",,,,,,,
798,16,"""An Enemy Worth 800 Million! Luffy vs. Thousand Armed Cracker!"" Transliteration: ""Hachi Oku no Teki Rufi tai Senju no Kurakkā"" (Japanese: 8億の敵　ルフィVS千手のクラッカー)",Yoshihiro Ueda,Tomohiro Nakayama,"July 23, 2017",,,,,,,
799,17,"""An All-out Duel! Gear Four vs. the Bis-Bis Ability!"" Transliteration: ""Zenryoku Shōbu Gia Fōsu tai Bisu Bisu no Chikara"" (Japanese: 全力勝負　ギア 4VSビスビスの能力)",Directed by : Katsumi Tokoro Storyboarded by : Kenji Yokoyama,Shōji Yonemura,"July 30, 2017",,,,,,,
800,18,"""The First and the Second Join! The Vinsmoke Family"" Transliteration: ""Ichi to Ni Shūketsu! Vinsumōku-ke"" (Japanese: 1と2　集結！ヴィンスモーク家)",Directed by : Yusuke Suzuki Storyboarded by : Aya Komaki,Atsuhiro Tomioka,"August 6, 2017",,,,,,,
801,19,"""The Benefactor's Life! Sanji and Owner Zeff!"" Transliteration: ""Onjin no Inochi Sanji to Ōnā Zefu"" (Japanese: 恩人の命 サンジと料理長(オーナー)ゼフ)",Directed by : Yasunori Koyama Storyboarded by : Tetsuya Endō,Hitoshi Tanaka,"August 13, 2017",,,,,,,
802,20,"""An Angry Sanji! The Secret of Germa 66!"" Transliteration: ""Ikari no Sanji Jeruma Daburu Shikkusu no Himitsu"" (Japanese: 怒りのサンジ ジェルマ66(ダブルシックス)の秘密)",Directed by : Kentarō Fujita Storyboarded by : Takayuki Tanaka,Tomohiro Nakayama,"August 20, 2017",,,,,,,
803,21,"""The Past that He Let Go of! Vinsmoke Sanji!"" Transliteration: ""Suteta Kako – Vinsumōku Sanji"" (Japanese: 捨てた過去 ヴィンスモーク・サンジ)",Yoshihiro Ueda,Shōji Yonemura,"August 27, 2017",,,,,,,
