No. overall [n 1],No. in season,Title [n 2],Directed by,Written by,Animation directed by,Original release date [n 3],Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Wano Country,Wano Country,Wano Country,Wano Country,Wano Country,Wano Country,Wano Country,Wano Country,Wano Country,Wano Country,Wano Country,Wano Country,Wano Country
892,1,"""The Land of Wano! To the Samurai Country where Cherry Blossoms Flutter!"" Transliteration: ""Wano Kuni! Sakuramau Samurai no Kuni e"" (Japanese: ワノ国！桜舞うサムライの国へ)",Tatsuya Nagamine,Shōji Yonemura,Midori Matsuda,"July 7, 2019",,,,,,
893,2,"""Otama Appears! Luffy vs. Kaido's Army!"" Transliteration: ""Otama Tōjō – Rufi tai Kaidō-gun!"" (Japanese: お玉登場 ルフィVSカイドウ軍！)",Kōhei Kureta,Atsuhiro Tomioka,Shūichi Itō,"July 14, 2019",,,,,,
894,3,"""He'll Come! The Legend of Ace in the Land of Wano!"" Transliteration: ""Kanarazu kuru – Wano Kuni no Ēsu Densetsu!"" (Japanese: 必ず来る ワノ国のエース伝説！)",Aya Komaki,Hitoshi Tanaka,Yusuke Isouchi & Yukiko Nakatani,"July 21, 2019",,,,,,
Cidre Guild,Cidre Guild,Cidre Guild,Cidre Guild,Cidre Guild,Cidre Guild,Cidre Guild,Cidre Guild,Cidre Guild,Cidre Guild,Cidre Guild,Cidre Guild,Cidre Guild
895,4,"""Side Story! The World's Greatest Bounty Hunter, Cidre!"" Transliteration: ""Tokubetsu-hen! Saikyō no Shōkin Kari Shīdoru"" (Japanese: 特別編！最強の賞金狩りシードル)",Yutaka Nakashima,Atsuhiro Tomioka,Masahiro Kitazaki,"July 28, 2019",,,,,,
896,5,"""Side Story! Clash! Luffy vs. the King of Carbonation!"" Transliteration: ""Tokubetsu-hen! Kessen! Rufi tai Tansan-ō"" (Japanese: 特別編！決戦！ルフィVS炭酸王)",Yutaka Nakashima,Atsuhiro Tomioka,Shigefumi Shingaki,"August 4, 2019",,,,,,
Wano Country,Wano Country,Wano Country,Wano Country,Wano Country,Wano Country,Wano Country,Wano Country,Wano Country,Wano Country,Wano Country,Wano Country,Wano Country
897,6,"""Save Otama! Straw Hat, Bounding through the Wasteland!"" Transliteration: ""O-Tama Sukue – Mugiwara Kōya o Kakeru!"" (Japanese: お玉救え 麦わら荒野を駆ける！)",Satoshi Itō,Tomohiro Nakayama,Kimitaka Itō & Eisaku Inoue,"August 11, 2019",,,,,,
898,7,"""The Headliner! Hawkins the Magician Appears!"" Transliteration: ""Shin'uchi! Majutsu-shi Hōkinsu Tōjō"" (Japanese: 真打ち! 魔術師ホーキンス登場)",Yasunori Koyama,Shinzō Fujita,Masahiro Shimanuki,"August 18, 2019",,,,,,
899,8,"""Defeat is Inevitable! The Strawman's Fierce Attack!"" Transliteration: ""Haiboku Kakutei – Sutorō Man no Mōkō!"" (Japanese: 敗北確定 ストローマンの猛攻！)",Yusuke Suzuki,Akiko Inoue,Toshio Deguchi,"August 25, 2019",,,,,,
900,9,"""The Greatest Day of My Life! Otama and Her Sweet Red-bean Soup!"" Transliteration: ""Saikō no Hi – O-Tama Hajimete no O-Shiruko"" (Japanese: 最高の日 お玉初めてのおしるこ)",Directed by : Tasuku Shimaya Storyboarded by : Aya Komaki,Shōji Yonemura,Kenji Yokoyama,"September 1, 2019",,,,,,
901,10,"""Charging into the Enemy's Territory! Bakura Town – Where Officials Thrive!"" Transliteration: ""Tekijin Totsunyū – Yakunin Habikoru Bakura-chō!"" (Japanese: 敵陣突入 役人はびこる博羅町！)",Satoshi Itō,Hitoshi Tanaka,Masahiro Kitazaki,"September 8, 2019",,,,,,
902,11,"""The Yokozuna Appears! The Invincible Urashima Goes After Okiku!"" Transliteration: ""Yokozuna Tōjō – O-Kiku Nerau Muteki no Urashima!"" (Japanese: 横綱登場 お菊狙う無敵の浦島！)",Katsumi Tokoro,Tomohiro Nakayama,Masahiro Kitazaki,"September 15, 2019",,,,,,
903,12,"""A Climactic Sumo Battle! Straw Hat vs. the Strongest Ever Yokozuna!"" Transliteration: ""Sumō Kessen – Mugiwara tai Saikyō no Yokozuna!"" (Japanese: 相撲決戦 麦わらVS最強の横綱！)",Directed by : Yusuke Suzuki Storyboarded by : Yutaka Nakashima,Ryo Yamazaki,Shūichi Itō,"September 22, 2019",,,,,,
904,13,"""Luffy Rages! Rescue Otama from Danger!"" Transliteration: ""Rufi Gekido – Pinchi no Otama o Sukue!"" (Japanese: ルフィ激怒 ピンチのお玉を救え！)",Masahiro Hosoda,Shinzō Fujita,Masayuki Takagi,"September 29, 2019",,,,,,
905,14,"""Taking Back Otama! A Fierce Fight Against Holdem!"" Transliteration: ""Otama Dakkan Gekitō! Hōrudemu-sen!"" (Japanese: お玉奪還 激闘！ホールデム戦！)",Tasuku Shimaya,Akiko Inoue,Masahiro Shimanuki,"October 6, 2019",,,,,,
906,15,"""Duel! The Magician and the Surgeon of Death!"" Transliteration: ""Ikkiuchi – Majutsushi to Shi no Gekai!"" (Japanese: 一騎打ち 魔術師と死の外科医！)",Directed by : Yasunori Koyama Storyboarded by : Toshinori Fukuzawa,Shōji Yonemura,Shigefumi Shingaki,"October 13, 2019",,,,,,
