No. overall [n 1],No. in season,Title [n 2][10],Directed by,Written by,Original release date [n 3],English air date [n 4],Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Enies Lobby,Enies Lobby,Enies Lobby,Enies Lobby,Enies Lobby,Enies Lobby,Enies Lobby,Enies Lobby,Enies Lobby,Enies Lobby,Enies Lobby,Enies Lobby,Enies Lobby
264,1,"""Landing Operations Start! Charge in, Straw Hats!"" Transliteration: ""Jōriku Sakusen Shidō! Mugiwara Ichimi Totsunyū seyo!"" (Japanese: 上陸作戦始動! 麦わら一味突入せよ!)",Munehisa Sakai,Hirohiko Kamisaka,"May 21, 2006[11]","July 27, 2014",,,,,,
265,2,"""Luffy Cuts Through! Big Showdown on the Judicial Island!"" Transliteration: ""Rufi Kai Shingeki! Shihō no Shima de Dai Kessen!"" (Japanese: ルフィ快進撃! 司法の島で大決戦!!)",Hiroyuki Kakudō,Hirohiko Kamisaka,"June 4, 2006[12]","August 3, 2014",,,,,,
266,3,"""Battle Against Giants! Open the Second Gate!"" Transliteration: ""Kyojinzoku to no Kōbō! Dai Ni no Mon o Akero!"" (Japanese: 巨人族との攻防! 第2の門を開けろ!)",Yoko Ikeda,Hirohiko Kamisaka,"June 11, 2006[13]","August 10, 2014",,,,,,
267,4,"""Find a Way Out! Rocketman Takes Flight!"" Transliteration: ""Katsuro o Hirake! Sora o Tobu Rokettoman!"" (Japanese: 活路を開け! 空を飛ぶロケットマン!)",Yoshihiro Ueda,Hirohiko Kamisaka,"June 18, 2006[14]","August 17, 2014",,,,,,
268,5,"""Catch Up with Luffy! The Straw Hats’ All-Out Battle"" Transliteration: ""Rufi ni Oitsuke! Mugiwara Ichimi Sōryokusen"" (Japanese: ルフィに追いつけ! 麦わら一味総力戦)",Directed by : Hiroaki Miyamoto Storyboarded by : Eisaku Inoue,Hirohiko Kamisaka,"June 25, 2006[n 5][15]","August 24, 2014",,,,,,
269,6,"""Robin Betrayed! The Motive of the World Government!"" Transliteration: ""Uragira re ta Robin! Sekai Seifu no Omowaku!"" (Japanese: 裏切られたロビン! 世界政府の思惑!)",Katsumi Tokoro,Hirohiko Kamisaka,"June 25, 2006[n 5][15]","September 7, 2014",,,,,,
270,7,"""Give Robin Back! Luffy vs. Blueno!"" Transliteration: ""Robin o Kaese! Rufi vs. Burūno!"" (Japanese: ロビンを返せ! ルフィvsブルーノ!)",Takahiro Imamura,Hirohiko Kamisaka,"July 2, 2006[16]","September 14, 2014",,,,,,
271,8,"""Don't Stop! Hoist the Counterattack Signal!"" Transliteration: ""Tachidomaru na! Hangeki no Noroshi o Agero!"" (Japanese: 立ち止まるな! 反撃の狼煙を上げろ!)",Yoshihiro Ueda,Hirohiko Kamisaka,"July 9, 2006[17]","September 21, 2014",,,,,,
272,9,"""Almost to Luffy! Gather at the Courthouse Plaza!"" Transliteration: ""Rufi Mokuzen! Saibanshomae Hiroba e Shūketsu se yo"" (Japanese: ルフィ目前! 裁判所前広場へ集結せよ)",Hiroyuki Kakudō,Hirohiko Kamisaka,"July 23, 2006[18]","September 28, 2014",,,,,,
