No. overall,No. in season,Title,Directed by,Written by,Original release date,English air date
337,1,"""The Mysterious Skeleton Floating Through The Fog! Venture into The Devil's Sea"" Transliteration: ""Ma no Umi Totsunyū! Kiri ni Ukabu Nazo no Gaikotsu"" (Japanese: 魔の海突入! 霧に浮かぶ謎のガイコツ)",Yoshihiro Ueda,Hirohiko Kamisaka,"January 6, 2008[82]","March 13, 2016"
338,2,"""The Joy of Seeing People! The Gentleman Skeleton’s True Identity!"" Transliteration: ""Hito ni Aeta Yorokobi! Gaikotsu Shinshi no Shōtai"" (Japanese: 人に逢えた喜び! ガイコツ紳士の正体)",Directed by : Hiroyuki Satō Storyboarded by : Naotoshi Shida,Tsuyoshi Sakurai,"January 13, 2008[83]","March 20, 2016"
339,3,"""One Unnatural Phenomenon After the Next! Disembarking on Thriller Bark!"" Transliteration: ""Kai Genshō Zokuzoku! Surirābāku Jōriku"" (Japanese: 怪現象ぞくぞく! スリラーバーク上陸)",Sumio Watanabe,Takuya Masumoto,"January 20, 2008[84]","March 27, 2016"
340,4,"""The Man Called a Genius! Hogback Makes His Appearance!"" Transliteration: ""Tensai to Yobareta Otoko! Hogubakku Arawaru!"" (Japanese: 天才と呼ばれた男! ホグバック現る!)",Katsumi Tokoro,Yoshiyuki Suga,"January 27, 2008[85]","April 3, 2016"
341,5,"""Nami’s in a Major Pinch! The Zombie Mansion and the Invisible Man!"" Transliteration: ""Nami Daipinchi! Zonbi Yashiki to Tōmei Ningen"" (Japanese: ナミ大ピンチ! ゾンビ屋敷と透明人間)",Tetsuya Endō,Isao Murayama,"February 3, 2008[86]","April 10, 2016"
342,6,"""The Zombie’s Secret! Hogback’s Nightmarish Laboratory!"" Transliteration: ""Zonbi no Nazo! Akumu no Hogubakku Kenkyūsho"" (Japanese: ゾンビの謎! 悪夢のホグバック研究所)",Directed by : Hiroshi Matsuzaka Storyboarded by : Kenji Yokoyama,Tsuyoshi Sakurai,"February 10, 2008[87]","April 17, 2016"
343,7,"""His Name is Moria! The Great Shadow-Seizing Pirate's Trap!"" Transliteration: ""Sono Na wa Moria! Kage o Nigiru Daikaizoku no Wana"" (Japanese: その名はモリア! 影を握る大海賊の罠)",Yoshihiro Ueda,Koga Naoki,"February 17, 2008[88]","April 24, 2016"
344,8,"""Feast of the Zombie Song! The Night Raid's Bell is the Sound of Darkness!"" Transliteration: ""Zonbi Songu no Kyōen! Yōchi no Kane wa Yami no Oto"" (Japanese: ゾンビ歌の饗宴! 夜討ちの鐘は闇の音)",Directed by : Hiroyuki Satō Storyboarded by : Naotoshi Shida,Hirohiko Kamisaka,"February 24, 2008[89]","May 1, 2016"
345,9,"""A Bunch of Animals? Perona's Wonder Garden!"" Transliteration: ""Dōbutsu Ippai? Perōna no Wandāgāden"" (Japanese: 動物いっぱい? ペローナの不思議の庭)",Sumio Watanabe,Yoshiyuki Suga,"March 2, 2008[90]","May 8, 2016"
346,10,"""The Vanishing Straw Hat Crew! A Mysterious Swordsman Appears!"" Transliteration: ""Kieru Mugiwara Ichimi! Arawareta Nazo no Kenshi!"" (Japanese: 消える麦わら一味! 現れた謎の剣士!)",Katsumi Tokoro,Takuya Masumoto,"March 9, 2008[91]","May 15, 2016"
