No. overall,No. in season,Title,Directed by,Written by,Original release date,English air date,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Spa Island,Spa Island,Spa Island,Spa Island,Spa Island,Spa Island,Spa Island,Spa Island,Spa Island,Spa Island,Spa Island,Spa Island,Spa Island
382,1,"""The Slow-Slow Menace! 'Silver Fox' Foxy Returns!"" Transliteration: ""Noro Noro no Kyōi – Gingitsune no Fokushī Futatabi"" (Japanese: ノロノロの脅威 銀狐のフォクシー再び)",Tetsuya Endō,Takuya Masumoto,"December 21, 2008[129][127]","March 5, 2017",,,,,,
383,2,"""The Great Scramble for Treasure! Collapse! Spa Island!"" Transliteration: ""Otakara Daisōdatsusen! Hōkai! Supa Airando-gō"" (Japanese: お宝大争奪戦! 崩壊! スパアイランド号)",Directed by : Makoto Sonoda Storyboarded by : Tetsuya Endō,Takuya Masumoto,"December 28, 2008[127][130]","March 12, 2017",,,,,,
384,3,"""Brook's Great Struggle! Is the Path to Becoming a True Comrade Rigorous?"" Transliteration: ""Burukku Daifuntō – Shin no Nakama e no Michi Kewashi?"" (Japanese: ブルック大奮闘 真の仲間への道険し?)",Naoyuki Itō,Yoshiyuki Suga,"January 11, 2009[131][132]","March 19, 2017",,,,,,
Sabaody Archipelago,Sabaody Archipelago,Sabaody Archipelago,Sabaody Archipelago,Sabaody Archipelago,Sabaody Archipelago,Sabaody Archipelago,Sabaody Archipelago,Sabaody Archipelago,Sabaody Archipelago,Sabaody Archipelago,Sabaody Archipelago,Sabaody Archipelago
385,4,"""Arriving at Halfway Through the Grand Line! The Red Line"" Transliteration: ""Gurand Rain Hanshū Tōtatsu! Reddo Rain"" (Japanese: 偉大なる航路半周到達! 赤い土の大陸)",Yutaka Nakashima,Isao Murayama,"January 18, 2009[132][133]",—,,,,,,
386,5,"""Hatred of the Straw Hat Crew – Enter Iron Mask Duval"" Transliteration: ""Mugiwara Ichimi Nikushi – Tekkamen no Dyubaru Tōjō"" (Japanese: 麦わら一味憎し 鉄仮面のデュバル登場)",Sumio Watanabe,Koga Naoki,"January 25, 2009[132][134]",—,,,,,,
387,6,"""The Fated Reunion! Save the Imprisoned Fish-man"" Transliteration: ""Innen no Saikai! Toraware no Gyojin o Sukuidase"" (Japanese: 因縁の再会! 囚われの魚人を救い出せ)",Yukihiko Nakao,Tsuyoshi Sakurai,"February 1, 2009[132][135]",—,,,,,,
388,7,"""Tragedy! The Truth of the Unmasked Duval"" Transliteration: ""Higeki! Kamen ni Kakusareta Dyubaru no Shinjitsu"" (Japanese: 悲劇! 仮面に隠されたデュバルの真実)",Yoshihiro Ueda,Yoshiyuki Suga,"February 8, 2009[136]",—,,,,,,
389,8,"""Explosion! The Sunny's Super Secret Weapon: Gaon Cannon"" Transliteration: ""Sakuretsu! Sanī-gō no Chōhimitsu Heiki Gaon Hō"" (Japanese: 炸裂! サニー号の超秘密兵器ガオン砲)",Katsumi Tokoro,Yoshiyuki Suga,"February 15, 2009[137][138]",—,,,,,,
390,9,"""Landing to Get to Fish-man Island – The Sabaody Archipelago"" Transliteration: ""Gyojintō o Mokushishite Jōriku – Shabondi Shotō"" (Japanese: 魚人島を目指して上陸 シャボンディ諸島)",Hiroaki Miyamoto,Hirohiko Kamisaka,"February 22, 2009[138][139]",—,,,,,,
391,10,"""Tyranny! The Rulers of Sabaody, the Celestial Dragons"" Transliteration: ""Bōgyaku! Shabondi no Shihaisha Tenryūbito"" (Japanese: 暴虐! シャボンディの支配者天竜人)",Yukihiko Nakao,Hitoshi Tanaka,"March 1, 2009[138][140]",—,,,,,,
392,11,"""New Rivals Gather! The 11 Supernovas"" Transliteration: ""Aratana Raibaru Shūketsu! Jūichinin no Chōshinsei"" (Japanese: 新たなライバル集結! 11人の超新星)",Hiroyuki Satō,Hirohiko Kamisaka,"March 8, 2009[138][141]",—,,,,,,
