No. overall [n 1],No. in season,Title [n 8],Directed by,Written by,Original release date [n 3]
408,1,"""Landing! The All-Female Island, Amazon Lily"" Transliteration: ""Jōriku! Danshi Kinsei no Shima Amazon Rirī"" (Japanese: 上陸! 男子禁制の島アマゾン·リリー)",Yoshihiro Ueda,Hirohiko Kamisaka,"July 5, 2009[157]"
409,2,"""Hurry Back to Your Friends! The Maiden Island Adventure"" Transliteration: ""Isoge! Nakama no Moto e – Nyōgashima no Bōken"" (Japanese: 急げ! 仲間のもとへ 女ヶ島の冒険)",Katsumi Tokoro,Hitoshi Tanaka,"July 12, 2009[158]"
410,3,"""Everyone Falls in Love! Pirate Empress Hancock"" Transliteration: ""Minna Meromero! Kaizoku Jotei Hankokku"" (Japanese: みんなメロメロ! 海賊女帝ハンコック)",Yutaka Nakashima,Yoshiyuki Suga,"July 19, 2009[159]"
411,4,"""The Secret Hidden on the Backs – Luffy and the Snake Princess Meet"" Transliteration: ""Senaka ni Kakusareta Himitsu – Sōgū Rufi to Hebihime"" (Japanese: 背中に隠された秘密 遭遇ルフィと蛇姫)",Yukihiko Nakao,Hitoshi Tanaka,"August 2, 2009[160]"
412,5,"""Heartless Judgment! Margaret is Turned to Stone!!"" Transliteration: ""Hijō no Sabaki! Ishi ni Sareta Māgaretto!!"" (Japanese: 非情の裁き! 石にされたマーガレット!!)",Gō Koga,Yoshiyuki Suga,"August 9, 2009[161]"
413,6,"""A Difficult Fight for Luffy! The Snake Sisters' Haki Power!!"" Transliteration: ""Rufi Daikusen! Hebi Shimai no Haki no Chikara!!"" (Japanese: ルフィ第苦戦! ヘビ姉妹の覇気の力!!)",Sumio Watanabe,Hitoshi Tanaka,"August 16, 2009[162]"
414,7,"""All-Out Special Power Battle!! Gum-Gum vs. Snake-Snake"" Transliteration: ""Nōryoku Zenkai Batoru!! Gomu Gomu vs. Hebi Hebi"" (Japanese: 能力全開バトル!! ゴムゴムVSヘビヘビ)",Directed by : Yutaka Nakashima Storyboarded by : Makoto Sonoda,Yoshiyuki Suga,"August 23, 2009[163]"
415,8,"""Hancock's Confession – The Sisters' Abhorrent Past"" Transliteration: ""Hankokku no Kokuhaku – Shimai no Imawashiki Kako"" (Japanese: ハンコックの告白 姉妹の忌まわしき過去)",Yoshihiro Ueda,Hitoshi Tanaka,"August 30, 2009[164]"
416,9,"""Saving Ace! The Next Stop: the Great Prison!"" Transliteration: ""Ēsu o Sukue! Arata na Mokutekichi wa Daikangoku"" (Japanese: エースを救え! 新たな目的地は大監獄)",Katsumi Tokoro,Yoshiyuki Suga,"September 6, 2009[165]"
417,10,"""Love is a Hurricane! Love-Love Hancock!"" Transliteration: ""Koi wa Harikēn! Meromero Hankokku"" (Japanese: 恋はハリケーン! メロメロハンコック)",Naoyuki Itō,Yoshiyuki Suga,"September 13, 2009[166]"
418,11,"""The Friends' Whereabouts – The Science of Weather and the Mechanical Island"" Transliteration: ""Nakama-tachi no Yukue – Tenkō no Kagaku to Karakurishima"" (Japanese: 仲間達の行方 天候の科学とからくり島)",Tetsuya Endō,Hitoshi Tanaka,"September 20, 2009[167]"
419,12,"""The Friends' Whereabouts! An Island of Giant Birds and a Pink Paradise!"" Transliteration: ""Nakama-tachi no Yukue – Kyōdori no Shima to Momoiro no Rakuen!"" (Japanese: 仲間達の行方 巨鳥の島と桃色の楽園!)",Yutaka Nakashima,Yoshiyuki Suga,"September 27, 2009[168]"
420,13,"""The Friends' Whereabouts – Bridging the Islands and Vicious Vegetations!"" Transliteration: ""Nakama-tachi no Yukue – Shima o Tsunagu Hashi to Shokujin Shokubutsu"" (Japanese: 仲間達の行方 島をつなぐ橋と食人植物)",Gō Koga,Hitoshi Tanaka,"October 4, 2009[169]"
421,14,"""The Friends' Whereabouts! A Negative Princess and the King of Demons!"" Transliteration: ""Nakama-tachi no Yukue – Negatibu Purinsesu to Akumaō"" (Japanese: 仲間達の行方 ネガティブ王女と悪魔王)",Katsumi Tokoro,Yoshiyuki Suga,"October 11, 2009[170]"
