No. overall,No. in season,Title,Directed by,Written by,Original release date,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Impel Down,Impel Down,Impel Down,Impel Down,Impel Down,Impel Down,Impel Down,Impel Down,Impel Down,Impel Down,Impel Down,Impel Down,Impel Down
422,1,"""A Deadly Infiltration! The Underwater Prison Impel Down!"" Transliteration: ""Kesshi no Sennyū! Kaitei Kangoku Inperu Daun"" (Japanese: 決死の潜入! 海底監獄インペルダウン)",Yoshihiro Ueda,Yoshiyuki Suga,"October 18, 2009[171]",,,,,,,
423,2,"""A Reunion in Hell?! The Man Who Ate the Chop-Chop Fruit!"" Transliteration: ""Jigoku de Saikai!? Bara Bara no Mi no Nōryokusha!"" (Japanese: 地獄で再会!? バラバラの実の実力者!)",Directed by : Yutaka Nakashima Storyboarded by : Naoyuki Itō,Hitoshi Tanaka,"October 25, 2009[172]",,,,,,,
424,3,"""Break Through the Crimson Hell! Buggy's Chaos-Inducing Plan!"" Transliteration: ""Yabure! Guren Jigoku – Bagī no Dohade Daisakusen"" (Japanese: 破れ! 紅蓮地獄 バギーのド派手大作戦)",Tetsuya Endō,Hitoshi Tanaka,"November 1, 2009[173]",,,,,,,
425,4,"""The Strongest Man in the Prison! Poison Man Magellan Appears!"" Transliteration: ""Kangoku Saikyō no Otoko! Doku Ningen Mazeran Tōjō"" (Japanese: 監獄最強の男! 毒人間マゼラン登場)",Sumio Watanabe,Yoshiyuki Suga,"November 8, 2009[174]",,,,,,,
Little East Blue,Little East Blue,Little East Blue,Little East Blue,Little East Blue,Little East Blue,Little East Blue,Little East Blue,Little East Blue,Little East Blue,Little East Blue,Little East Blue,Little East Blue
426,5,"""A Special Presentation Related to the Movie! A Gold Lion's Ambition on the Move!"" Transliteration: ""Eiga Rendō Supesharu – Ugokidasu Kinjishi no Yabō"" (Japanese: 映画連動特別編 動き出す金獅子の野望)",Hiroaki Miyamoto,Hirohiko Kamisaka,"November 15, 2009[175]",,,,,,,
427,6,"""A Special Presentation Related to the Movie! Little East Blue in Danger!"" Transliteration: ""Eiga Rendō Supesharu – Nerawareta Ritoru Īsuto Burū"" (Japanese: 映画連動特別編 狙われた小さな東の海)",Tetsuya Endō,Hirohiko Kamisaka,"November 22, 2009[176]",,,,,,,
428,7,"""A Special Presentation Related to the Movie! The Fierce Onslaught of the Amigo Pirates!"" Transliteration: ""Eiga Rendō Supesharu – Amīgo Kaizoku-dan no Mōkō"" (Japanese: 映画連動特別編 アミーゴ海賊団の猛攻)",Directed by : Katsumi Tokoro Storyboarded by : Kenji Yokoyama,Hirohiko Kamisaka,"November 29, 2009[177]",,,,,,,
429,8,"""A Special Presentation Related to the Movie! The Battle is on! - Luffy vs. Largo"" Transliteration: ""Eiga Rendō Supesharu – Kessen! Rufi VS Rarugo"" (Japanese: 映画連動特別編 決戦! ルフィVSラルゴ)",Naoyuki Itō,Hirohiko Kamisaka,"December 6, 2009[178]",,,,,,,
Impel Down,Impel Down,Impel Down,Impel Down,Impel Down,Impel Down,Impel Down,Impel Down,Impel Down,Impel Down,Impel Down,Impel Down,Impel Down
430,9,"""A Warlord in Prison! Jimbei the First Son of the Sea!"" Transliteration: ""Toraware no Ōka Shichibukai! Kaikyō no Jinbē"" (Japanese: 囚われの王下七武海! 海侠のジンベエ)",Yoshihiro Ueda,Yoshiyuki Suga,"December 13, 2009[179]",,,,,,,
431,10,"""Chief Jailer Saldeath's Trap! Level 3 – Starvation Hell!"" Transliteration: ""Rōbanchō Sarudesu no Wana – Reberu Surī Kiga Jigoku"" (Japanese: 牢番長サルデスの罠　LV.3飢餓地獄)",Directed by : Sumio Watanabe Storyboarded by : Takahiro Imamura,Hitoshi Tanaka,"December 20, 2009[180]",,,,,,,
432,11,"""The Unleashed Swan! A Reunion with Bon Clay!"" Transliteration: ""Tokihanatareta Suwan! Saikai! Bon Kurē"" (Japanese: 解き放たれた白鳥! 再会! ボン・クレー)",Yutaka Nakashima,Hirohiko Kamisaka,"December 27, 2009[181]",,,,,,,
433,12,"""Warden Magellan's Strategy! Straw Hat Entrapment Completed!"" Transliteration: ""Shochō Mazeran Ugoku – Kansei! Mugiwara Hōimō"" (Japanese: 署長マゼラン動く 完成! 麦わら包囲網)",Tetsuya Endō,Hirohiko Kamisaka,"January 10, 2010[182]",,,,,,,
434,13,"""All Forces Have Gathered! The Battle on Level 4 – The Burning Heat Hell!"" Transliteration: ""Zensenryoku shūketsu! Reberu Fō – Shōnetsu Jigoku no Kessen"" (Japanese: 全戦力集結！ LV4·焦熱地獄の決戦)",Katsumi Tokoro,Hitoshi Tanaka,"January 17, 2010[183]",,,,,,,
