Season,Season title,Episodes,Episodes,Originally released,Originally released
Season,Season title,Episodes,Episodes.1,First released,Last released
1,East Blue,61,61,"October 20, 1999","March 14, 2001"
2,Entering into the Grand Line,16,16,"March 21, 2001","August 19, 2001"
3,Introducing Chopper at the Winter Island,15,15,"August 26, 2001","December 9, 2001"
4,Alabasta,38,38,"December 16, 2001","October 27, 2002"
5,"Dreams!, The Zenny Pirate Crew Sortie!, Beyond the Rainbow",13,13,"November 3, 2002","February 2, 2003"
6,Sky Island ~ Skypiea & The Golden Bell,52,52,"February 9, 2003","June 13, 2004"
7,Escape! The Marine Fortress & The Foxy Pirate Crew,33,33,"June 20, 2004","March 27, 2005"
8,Water Seven,35,35,"April 17, 2005","April 30, 2006"
9,Enies Lobby,73,73,"May 21, 2006","December 23, 2007"
10,Thriller Bark,45,45,"January 6, 2008","December 14, 2008"
11,Sabaody Archipelago,26,26,"December 21, 2008","June 28, 2009"
12,Island of Women,14,14,"July 5, 2009","October 11, 2009"
13,Impel Down,35,35,"October 18, 2009","June 20, 2010"
14,Marineford,60,60,"June 27, 2010","September 25, 2011"
15,Fishman Island,62,62,"October 2, 2011","December 23, 2012"
16,Punk Hazard,50,50,"January 6, 2013","January 12, 2014"
17,Dressrosa,118,118,"January 19, 2014","June 19, 2016"
18,Zou,36,36,"June 26, 2016","April 2, 2017"
19,Whole Cake Island,109,109,"April 9, 2017","June 30, 2019"
20,Wano Country,197,197,"July 7, 2019","December 17, 2023"
21,Egghead,67,67,"January 7, 2024","December 28, 2025"
22,Elbaph,TBA,TBA,"April 5, 2026",TBA
